Program,Program Type/Target,Level of Government,Category,Cash to In-Kind Spectrum,Importance Ranking
Language Instruction for Newcomers to Canada,"Education, Training, and Employment",Federal,Income Support,Pure In-Kind,1
Career Paths for Skilled Immigrants,"Education, Training, and Employment",Provincial,Income Support,Pure In-Kind,1
Minimum Wage Regulation,Financial Supports: Non-Work,Regulation,Market Supports,,1
RDSP ,Financial Supports: Non-Work,Voluntary Savings,Market Supports,,1
RRSP,Financial Supports: Non-Work,Voluntary Savings,Market Supports,,1
TFSA,Financial Supports: Non-Work,Voluntary Savings,Market Supports,,1
Canadian Forces Disability Benefits,Financial Supports: Non-Work,Federal,Income Support,Pure Cash Transfer,1
Canadian Forces Income Support,Financial Supports: Non-Work,Federal,Income Support,Pure Cash Transfer,1
Veteran Exceptional Incapacity Allowance,Financial Supports: Non-Work,Federal,Income Support,Pure Cash Transfer,1
Veteran's Attendance Allowance,Financial Supports: Non-Work,Federal,Income Support,Cash Geared to Cost,1
Veterans Clothing Allowance,Financial Supports: Non-Work,Federal,Income Support,Cash Geared to Cost,1
Veteran's Detention Benefit,Financial Supports: Non-Work,Federal,Income Support,Pure Cash Transfer,1
Veteran's Independence Program,Financial Supports: Non-Work,Federal,Income Support,Pure In-Kind OR Bill Refund,1
Veteran's Independence Program,Financial Supports: Non-Work,Federal,Income Support,Pure In-Kind OR Bill Refund,1
Veteran's Independence Program for Survivors,Financial Supports: Non-Work,Federal,Income Support,Pure In-Kind OR Bill Refund,1
Veteran's Independence Program for Survivors,Financial Supports: Non-Work,Federal,Income Support,Pure In-Kind OR Bill Refund,1
War Veterans Allowance,Financial Supports: Non-Work,Federal,Income Support,Pure Cash Transfer,1
War Veterans Death Benefit,Financial Supports: Non-Work,Federal,Income Support,Pure Cash Transfer,1
War Veteran's Funeral and Burial Assistance,Financial Supports: Non-Work,Federal,Income Support,Pure In-Kind,1
War Veteran's Prisoner of War Compensation,Financial Supports: Non-Work,Federal,Income Support,Pure Cash Transfer,1
Immigration Loans Program ,Financial Supports: Non-Work,Federal,Income Support,Cash Geared to Cost,1
Resettlement Assistance Program,Financial Supports: Non-Work,Federal,Income Support,Pure In-Kind,1
Resettlement Assistance Program,Financial Supports: Non-Work,Federal,Income Support,Pure In-Kind,1
Right of Permanent Residence Fee Loan,Financial Supports: Non-Work,Federal,Income Support,Pure In-Kind,1
Allowance for People Aged 60 to 64,Financial Supports: Non-Work,Federal,Income Support,Pure Cash Transfer,1
Allowance for the Survivor,Financial Supports: Non-Work,Federal,Income Support,Pure Cash Transfer,1
Disability Savings Bonds,Financial Supports: Non-Work,Federal,Income Support,Pure Cash Transfer,1
Disability Savings Grant,Financial Supports: Non-Work,Federal,Income Support,Pure Cash Transfer,1
Disability Tax Credit,Financial Supports: Non-Work,Federal,Income Support,Non-refundable tax credit,2
Excise Gasoline Tax Refund,Financial Supports: Non-Work,Federal,Income Support,Bill Refund,1
GST/HST Credit,Financial Supports: Non-Work,Federal,Income Support,Pure Cash Transfer,2
Guaranteed Income Supplement,Financial Supports: Non-Work,Federal,Income Support,Pure Cash Transfer,2
Old Age Security Pension,Financial Supports: Non-Work,Federal,Income Support,Pure Cash Transfer,2
BC Bus Pass for Seniors,Financial Supports: Non-Work,Provincial,Income Support,Pure In-Kind,2
BC Farmer's Market Nutrition Program,Financial Supports: Non-Work,Provincial,Income Support,Pure In-Kind,1
BC Farmer's Market Nutrition Program,Financial Supports: Non-Work,Provincial,Income Support,Pure In-Kind,1
BC Farmer's Market Nutrition Program,Financial Supports: Non-Work,Provincial,Income Support,Pure In-Kind,1
BC Tax Reduction Credit,Financial Supports: Non-Work,Provincial,Income Support,Non-refundable tax credit,2
Camp Fees Supplement,Children and Family,Provincial,Income Support,Pure In-Kind OR Bill Refund,1
Christmas Supplement,Financial Supports: Non-Work,Provincial,Income Support,Pure Cash Transfer,1
BC Climate Action Tax Credit,Financial Supports: Non-Work,Provincial,Income Support,Pure Cash Transfer,2
Clothing Supplement for People in Special Care Facilities,Financial Supports: Non-Work,Provincial,Income Support,Cash Geared to Cost,1
CommunityLink Funding and Vulnerable Student Supplement,Financial Supports: Non-Work,Provincial,Income Support,Pure In-Kind,1
Confirmed Job Supplement,Financial Supports: Non-Work,Provincial,Income Support,Cash Geared to Cost,1
Disability Assistance,Financial Supports: Non-Work,Provincial,Income Support,Pure Cash Transfer,2
Fuel Tax Refund for Persons with Disabilities,Financial Supports: Non-Work,Provincial,Income Support,Bill Refund,1
Funeral Costs,Financial Supports: Non-Work,Provincial,Income Support,Pure In-Kind,1
Hardship Assistance,Financial Supports: Non-Work,Provincial,Income Support,Pure Cash Transfer,2
Hardship Assistance,Financial Supports: Non-Work,Provincial,Income Support,Pure Cash Transfer,2
Identification Supplement,Financial Supports: Non-Work,Provincial,Income Support,Cash Geared to Cost,1
Income Assistance (employable),Financial Supports: Non-Work,Provincial,Income Support,Pure Cash Transfer,2
Income Assistance (PPMB designation),Financial Supports: Non-Work,Provincial,Income Support,Pure Cash Transfer,2
Legal Aid,Financial Supports: Non-Work,Provincial,Income Support,Pure In-Kind,1
Recreation Financial Assistance Programs,Financial Supports: Non-Work,Municipal ,Income Support,Pure In-Kind,1
BC Sales Tax Credit,Financial Supports: Non-Work,Provincial,Income Support,Refundable tax credit,2
Seniors Supplement,Financial Supports: Non-Work,Provincial,Income Support,Pure Cash Transfer,2
Transportation Supplement  ,Financial Supports: Non-Work,Provincial,Income Support,Pure In-Kind,2
Transportation Supplement  ,Financial Supports: Non-Work,Provincial,Income Support,Pure In-Kind,2
Transportation to Alcohol and Drug Facilities,Financial Supports: Non-Work,Provincial,Income Support,Pure In-Kind OR Bill Refund,1
Crime Victim Assistance Program,Financial Supports: Non-Work,Provincial,Income Support,Pure In-Kind,1
Crime Victim Assistance Program,Financial Supports: Non-Work,Provincial,Income Support,Pure In-Kind,1
Victim Travel Fund,Financial Supports: Non-Work,Provincial,Income Support,Cash Geared to Cost,1
Canadian Forces Income Replacement Benefit,Financial Supports: Work-Related,Federal,Income Support,Pure Cash Transfer,1
Canadian Benefit for Parents of Young Victims of Crime,Financial Supports: Work-Related,Federal,Income Support,Pure Cash Transfer,1
CPP: Children's Benefits,Financial Supports: Work-Related,Federal,Income Support,Pure Cash Transfer,1
CPP: Children's Benefits,Financial Supports: Work-Related,Federal,Income Support,Pure Cash Transfer,1
CPP: Death Benefit,Financial Supports: Work-Related,Federal,Income Support,Pure Cash Transfer,1
CPP: Disability Benefit,Financial Supports: Work-Related,Federal,Income Support,Pure Cash Transfer,2
CPP: Retirement Pension,Financial Supports: Work-Related,Federal,Income Support,Pure Cash Transfer,2
CPP: Survivor's Pension,Financial Supports: Work-Related,Federal,Income Support,Pure Cash Transfer,1
Employment Insurance (EI): regular benefits,Financial Supports: Work-Related,Federal,Income Support,Pure Cash Transfer,2
Employment Insurance: caregiving benefits (adult and/or child(ren)),Financial Supports: Work-Related,Federal,Income Support,Pure Cash Transfer,1
Employment Insurance: family supplement,Financial Supports: Work-Related,Federal,Income Support,Pure Cash Transfer,2
Employment Insurance: maternity and parental,Financial Supports: Work-Related,Federal,Income Support,Pure Cash Transfer,2
Employment Insurance: sickness,Financial Supports: Work-Related,Federal,Income Support,Pure Cash Transfer,2
Workers Comp. (federal employees),Financial Supports: Work-Related,Federal,Income Support,Pure Cash Transfer,1
WorkSafe BC: Health Care Benefits,Financial Supports: Work-Related,Provincial,Income Support,Pure In-Kind,1
WorkSafe BC: Permanent Disability Benefit (long-term disability),Financial Supports: Work-Related,Provincial,Income Support,Pure Cash Transfer,2
WorkSafe BC: Wage loss benefits,Financial Supports: Work-Related,Provincial,Income Support,Pure Cash Transfer,2
Working Income Tax Benefit (WITB),Financial Supports: Work-Related,Federal,Income Support,Refundable tax credit,1
Canada Worker's Benefit (CWB),Financial Supports: Work-Related,Federal,Income Support,Refundable tax credit,2
Canada Worker's Benefit (CWB): Disability Supplement,Financial Supports: Work-Related,Federal,Income Support,Refundable tax credit,2
First Time Home Buyer Incentive,Housing,Federal,Income Support,Pure In-Kind,1
GST/HST New Housing Rebate,Housing,Federal,Income Support,Bill Refund,1
Home Buyer's Plan,Housing,Federal,Market Supports,,1
Housing Supply Challenge,Housing,Federal,Market Supports,,1
Vancouver Rent Bank,Housing,NGO,Income Support,Pure In-Kind,1
Affordable Rental Housing,Housing,Provincial,Income Support,Pure In-Kind,2
Regular Home Owner Grant,Housing,Provincial,Income Support,Pure In-Kind,1
BC Home Renovation Tax Credit,Housing,Provincial,Income Support,Refundable tax credit,1
BC Home Renovation Tax Credit,Housing,Provincial,Income Support,Refundable tax credit,1
BC Hydro Customer Crisis Fund,Housing,Provincial,Income Support,Pure In-Kind,2
Co-op Share Purchase Supplement,Housing,Provincial,Income Support,Cash Geared to Cost,1
Energy Conservation Assistance Program,Housing,Provincial,Income Support,Pure In-Kind,1
Home Adaptations for Independence,Housing,Provincial,Income Support,Bill Refund,1
Home Owner Grant: Low Income Grant Supplement for Seniors,Housing,Provincial,Income Support,Pure In-Kind,1
Home Owner Grant: Low Income Grant Supplement for People with Disabilities,Housing,Provincial,Income Support,Pure In-Kind,1
Home Owner Grant: Low Income Grant Supplement for Veterans,Housing,Provincial,Income Support,Pure In-Kind,1
Homeless Shelters and Services,Housing,Provincial,Income Support,Pure In-Kind,2
Independent Living BC Program,Housing,Provincial,Income Support,Pure In-Kind,1
Independent Living BC Program,Housing,Provincial,Income Support,Pure In-Kind,1
"Moving, Transportation and Living Costs",Housing,Provincial,Income Support,Cash Geared to Cost,1
Pre-natal Shelter Supplement,Housing,Provincial,Income Support,Cash Geared to Cost,1
Property Tax Deferral,Housing,Provincial,Income Support,Pure In-Kind,1
Property Tax Deferral,Housing,Provincial,Income Support,Pure In-Kind,1
Property Tax Deferral: Families with Children,Housing,Provincial,Income Support,Pure In-Kind,1
Rental Assistance Program,Housing,Provincial,Income Support,Cash Geared to Cost,2
Security Deposits,Housing,Provincial,Income Support,Cash Geared to Cost,1
Seniors' Supportive Housing,Housing,Provincial,Income Support,Pure In-Kind,1
Seniors' Supportive Housing,Housing,Provincial,Income Support,Pure In-Kind,1
Supportive Housing (for low income adults),Housing,Provincial,Income Support,Pure In-Kind,1
Shelter Aid for Elderly Renters,Housing,Provincial,Income Support,Cash Geared to Cost,2
Subsidized Rental Housing,Housing,Provincial,Income Support,Pure In-Kind,2
Transition Houses,Housing,Provincial,Income Support,Pure In-Kind,1
Utility Security Deposits,Housing,Provincial,Income Support,Cash Geared to Cost,1
Indian Residential Schools Resolution Health Support Program,Medical/Health,Federal,Income Support,Pure In-Kind,1
Medical Expenses Tax Credit,Medical/Health,Federal,Income Support,Non-refundable tax credit,1
Non-Insured Health Benefits Program,Medical/Health,Federal,Income Support,Pure In-Kind,1
Alternative Hearing Assistance Supplement,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Basic Dental Services,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Dental: Crown and bridge work,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Diet Supplements,Medical/Health,Provincial,Income Support,Cash Geared to Cost,1
Emergency Dental Services & Denture Services,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Extended Medical Therapies,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Supplementary Health Care Benefits ,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Fair Pharmacare,Medical/Health,Provincial,Income Support,Pure In-Kind,2
Fair Pharmacare (Plan C),Medical/Health,Provincial,Income Support,Pure In-Kind,2
Guide Dog and Service Dog Supplement,Medical/Health,Provincial,Income Support,Cash Geared to Cost,1
Healthy Kids Program,Medical/Health,Provincial,Income Support,Pure In-Kind,2
Life-Threatening Health Needs,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Medical Equipment - Orthoses,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Medical Equipment - Orthoses,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Medical Equipment and Devices,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Medical Equipment and Devices,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Medical Equipment- Hearing Instruments,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Medical Equipment- Hearing Instruments,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Medical Services Only Category,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Medical Services Plan: Regular Premium Assistance,Medical/Health,Provincial,Income Support,Pure In-Kind,2
Medical Services Plan: Premium Free Medical Coverage,Medical/Health,Provincial,Income Support,Pure In-Kind,2
Medical Services Plan: Temporary Premium Assistance,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Medical Supplies,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Medical Supplies,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Medical Transportation Supplement,Medical/Health,Provincial,Income Support,Cash Geared to Cost,1
Medical Transportation Supplement,Medical/Health,Provincial,Income Support,Cash Geared to Cost,1
Monthly Nutritional Supplement,Medical/Health,Provincial,Income Support,Cash Geared to Cost,1
Natal Supplement,Medical/Health,Provincial,Income Support,Cash Geared to Cost,1
Nutritional Supplement: Short-Term,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Optical Services,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Dental: Orthodontic Services,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Dental: Orthodontic Services,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Supplement for Alcohol and Drug Treatment,Medical/Health,Provincial,Income Support,Pure In-Kind OR Bill Refund,1
Transitional Health Services ,Medical/Health,Provincial,Income Support,Pure In-Kind,1
Tube Feed Supplement,Medical/Health,Provincial,Income Support,Pure In-Kind,1
