Full Program Name,Program,Program Type/Target,Level of Government,Cash to In-Kind Spectrum,Ordering,Description,Eligbility,Conditions,ChildPrograms,Expenditures (2018/19),Number of Recipients (2018/19),Cases (July 2019),Expenditures (2017/18),Number of Eligible Children (March 2018),Base Program Funding (2018/19),Recipients (2017),Expenditures (2017),Budget (2019/20),Expenditures (2019 YTD),Recipient (2019 YTD),Recipients (2017/18),Recipients (2018),Expenditures (2018),Expenditures (2016),Recipients (2016/17)
BC access grant for students with permanent disabilities,Access Grant,"Education, Training, and Employment",Government of B.C.,Pure In-Kind,11,"This program helps full-time students with a permanent disability with the cost of education by replacing approximately $1,000 in B.C. student loan funding",Person with disabilities,"Attending post-secondary, income-tested",,,,,,,,,,,,,,,,,
Career Paths for Skilled Immigrants,Career Paths,"Education, Training, and Employment",Government of B.C.,Pure In-Kind,12,This program provides services to help immigrants find skilled employment in BC using the education and experience they bring to Canada.  Services are customized to the participant's needs including support specific to in-demand occupations,A immigrant or Refugee or New to Canada who is unemployed or underemployed,,,,,,,,,,,,,,,,,,
Community Adult Literacy Program,Adult Literacy,"Education, Training, and Employment",Government of B.C.,Pure In-Kind,13,The Community Adult Literacy Program (CALP) is a community-based literacy initiative to promote and deliver adult literacy programs and services across the province; the goal of CALP is to increase the literacy and numeracy levels of adults 19 years and older through one on one or small group learning environments ,,,,,,,,,,,,,,,,,,$2.4M,"4,151 (unclear if this is programs funded or persons served)"
WorkBC Employment Services (LMDA),Employ. Services,"Education, Training, and Employment",Government of B.C.,Pure In-Kind,14,WorkBC Employment Services supports all unemployed British Columbians in achieving sustainable employment through an integrated system of employment services and supports,Unemployed Or underemployed,,,$328.79M (includes LMDA + provincial funding),"89,035",,,,,,,,,,,,,,
WorkBC Assistive Technology Services (LMDA),Assistive Tech. ,"Education, Training, and Employment",Government of B.C.,Pure In-Kind,15,Assistive Technology Services provides equipment and devices to help individuals thrive in the workplace.,Person with disabilities,,,,,,,,,,,,,,,,,,
Provincial Tuition Waiver Program,Tuition Waiver,"Education, Training, and Employment",Government of B.C.,Pure In-Kind,16,This program waives tuition fees for B.C. students who are former youth in care between 19 and up to their 27th birthday who are attending a B.C. public post-secondary institution.,Former youth in care between 19-26 years old,Attending post-secondary,,$3.6M,806,,,,,,,,,,,,,,
Skills Training for Employment (WDA),Skills Training for Employment,"Education, Training, and Employment",Government of B.C.,Pure In-Kind,17,Provide skills training and supports to those who face barriers to employment. The B.C. Government is investing over $50M per year in programs for vulnerable and under-represented groups. Included in this programming is a new program (the Skills Training for Employment program (STE) targeting: young adults; young adults at risk (including former youth in care); survivors of violence and abuse; older workers 55+; people with multiple barriers to employment; and indigineous peoples,Unemployed Or underemployed,,,,,,,,,,,"$56M over 5,605 recipients",,,,,,,
BC Bus Pass for Seniors,Senior Bus Pass,Financial Supports: Non-Work,Government of B.C.,Pure In-Kind,18,Low income seniors and other eligible recipients living in an area served by BC Transit or TransLink may receive a reduced-cost bus pass,"Low-income senior receiving either the GIS, Allowance, IA, or DA",,,$34.6M,"61,290",,,,,,,,,,,,,,
BC Farmer's Market Nutrition Program,Nutrition Program,Financial Supports: Non-Work,Government of B.C.,Pure In-Kind,19,"The BC Farmer's Market Nutrition Program helps low-income individuals and seniors gain access to healthy, locally grown food through the provision of coupons. Each household is eligible to receive a minimum of $21/week in coupons which can be redeemed at participating farmers markets. The program runs throughout the summer months.",Low-income and pregnant or dependent children or senior,,,,"About 12,000 over 4,000 households and 79 communities",,,,,,,,,,,,,,
Community Living BC,CLBC,Financial Supports: Non-Work,Government of B.C.,Pure In-Kind,20,"Community Living BC, or CLBC, is the provincial crown corporation that funds supports and services to adults with developmental disabilities, as well as individuals who have a diagnosis of Autism Spectrum Disorder (ASD) or Fetal Alcohol Spectrum Disorder and who also have significant difficulty doing things on their own.",Adults with developmental disabilities,,,,,,,,,"20,049 (Mar. 2017)",,,,,,,,,
CommunityLink Funding and Vulnerable Student Supplement,CommunityLink & VSS,Financial Supports: Non-Work,Government of B.C.,Pure In-Kind,21,"CommunityLINK (Learning Includes Nutrition and Knowledge) funding is designed to support the academic achievement and social functioning of vulnerable students. Programs and services can include breakfast, lunch and snack programs, academic supports, counseling, youth workers and after-school programs.",,,,$52.8M (CommunityLINK) + $11.2M (VSS),"60 school districts, i.e. all school districts receive CommunityLink. 25 school districts receive VSS.",,,,,,,,,,,,,,
Crime Victim Assistance Program,CVAP,Financial Supports: Non-Work,Government of B.C.,Pure In-Kind,22,"The Crime Victim Assistance Program (CVAP) assists victims, immediate family members and some witnesses in coping with the effects of violent crime. It provides financial benefits to help offset financial losses and assist in recovery.",Victim of crime resulting in financial loss - replaces lost income,Income-tested,,,,,,,,,,,,,,,,,
Funeral Costs,Funeral,Financial Supports: Non-Work,Government of B.C.,Pure In-Kind,23,"A supplement may be provided to paynecessary funeral costsof any person who dies in B.C. Up to $1,285 for basic services and $815 for other services.",,,,,,,$4.9M,,,,,,,,"2,008 issued",,,,
Transportation Supplement  ,Transport Supp.,Financial Supports: Non-Work,Government of B.C.,Pure In-Kind,24,A monthly transportation supplement. The individual has the choice of receiving $52/month or an in-kind annual bus pass.,Recipients of DA (persons with disabilities),,,,,,$72.4M,,,,,,,,"Total: 120,146 recipients. Of those, 79,315 (66%) received cash and 41,111 (44%) received a bus pass",,,,
Legal Aid,Legal Aid,Financial Supports: Non-Work,Government of B.C.,Pure In-Kind,25,"The Legal Services Society offers a range of free legal services to all British Columbians, with priority given to people with low incomes. Services include legal information, advice, and representation",,,,,,,,,,,,,,,,,,,
WorkSafe BC: Health Care Benefits,WorkSafe Health Ben.,Financial Supports: Work-Related,Government of B.C.,Pure In-Kind,26,"Provides health care coverage for workers injured at work. Once reports are received from an injured worker, their employer, and their health care provider(s), and the claim is accepted, health care benefits cover the cost of the health care services and supplies that are considered reasonably necessary to treat the injuries. This may include medical treatments, hospitalization, medical supplies, rehabilitation, and medications.",Injured at work.,,,,,,,,,"52,422 (health care only claims)","$55,366,907 (health care only claims)",,,,,,,,
Affordable Rental Housing,Affordable Rental Housing,Housing,Government of B.C.,Pure In-Kind,27,"Affordable rental housing is for people who have a low to moderate incomes but may not be eligible for subsidized housing. Affordable rental housing is housing with rents equal to, or lower than, average rates in the private-market",,Income-tested,,"$138M Operating Grants + $244M Project Grants = 40,100 units",,,,,,,,"$126M Operating Grants + $305M Project Grants to provide 42,190 units",,,,,,,
BC Hydro Customer Crisis Fund,Crisis Fund,Housing,Government of B.C.,Pure In-Kind,28,"A grant payment to avoid disconnection of service may be available to residential customers who have fallen behind on their BC Hydro bill due to a temporary financial crisis, such as a loss of employment or income, unanticipated medical expenses, or a death in the family",Overdue payments to BC Hydro and unexpected financial crisis,,,"$847,518","2,282",,,,,,,,,,,,,,
Energy Conservation Assistance Program,ECAP,Housing,Government of B.C.,Pure In-Kind,29,"The Energy Conservation Assistance Program (ECAP) provides income-qualified residential customers with a free home energy evaluation, energy-saving products and advice",Low Income,Income-tested,,,,,,,,,,,,,,,,,
Home Owner Grant,HOG,Housing,Government of B.C.,Pure In-Kind,30,"The home owner grant reduces the amount of property tax you pay for your principal residence. Supplemental grants are available for sub-populations: seniors, veterans, and people with disabilities",Rural homeowner,,,,,,,,,,,,"<h6>Expenditures (2019) </h6><ol><li>General: $437M</li><li>Persons with disabilities: $6.3M</li><li>Senior: $373M</li><li>Veteran: $21,000</li><li>Low Income Grant Supplement for People with Disabilities or Seniors: $379,000</li><li>Low Income Grant Supplement for Veterans: $2,700</li></ol>","<h6>Recipients (2019 YTD)</h6><ol><li>General: 896,000</li><li>Persons with disabilities: 8,500</li><li>Senior: 414,000</li><li>Veteran: 30</li><li>Low Income Grant Supplement for People with Disabilities or Seniors: 600</li><li>Low Income Grant Supplement for Veterans: 10</li></ol>",,,,,
Homeless Rent Supplements,Homeless Rent Supp.,Housing,Government of B.C.,Pure In-Kind,31,"An initiative aimed at providing individuals in identified at-risk groups facing homelessness with portable rent supplements and support services to help them access rental housing in the private (non-subsidized) housing market. Includes: homeless outreach program, homeless prevention program, and BCH health services",Homeless,,,$31.8M,"3,751",,,,,,,$33.8M ,,"3,832",,,,,
Homeless Shelters ,Shelters,Housing,Government of B.C.,Pure In-Kind,32,A range of programs and services available in BC to assist people who are homeless or at risk of homelessness,Homeless,,,$102M,"4,779",,,,,,,$116M,,"5,142 ",,,,,
Independent Living ,Independent Living ,Housing,Government of B.C.,Pure In-Kind,33,"Independent Living BC (ILBC) is a subsidized, assisted-living program that provides housing with support services to seniors and people with disabilities. Persons who qualify live in theirr own unit in an assisted living residence.",Person with disability or seniors,Means-tested,,$41M for PWD's + $27M for seniors,"6,048 PWD's + 4,094 seniors",,,,,,,$40M for PWD's + $26M for seniors,,"6,101 PWD's + 4,094 seniors ",,,,,
Property Tax Deferral,PTD,Housing,Government of B.C.,Pure In-Kind,34,Tax deferment is a low interest loan program that helps qualified B.C. homeowners pay their annual property taxes on their principal residence.,"Person with disability or senior or a surviving spouse of any age with minimum 25% equity in home. A homeowner may qualify for the Families with Children program if they are a parent, step-parent, or are financially supporting a child.",,,$253M (amount deferred),"49,212 renewals + 11,394 new applicants",,,,,,,"$240M (amount deferred) for estimated 52,000 renewals + 13,000 new applicants",,,"54,431",,,,
Rent Banks,Rent Banks,Housing,Government of B.C.,Pure In-Kind,35,Rent Banks offers short term funding (loans) available to families and individuals that are at risk of eviction or essential utility disconnection due to a temporary shortage of funds. BC Budget 2019 has proposed $10M funding for a province-wide rent bank.,"Low income persons who rent primary residence and are expereincing a temporary, unexpected crisis, and have proof they can repay the loan",Income-tested,,,,,,,,,,$10M ,,,,,,,
Seniors' Supportive Housing,Seniors' Housing,Housing,Government of B.C.,Pure In-Kind,36,"The Seniors' Supportive Housing Program provides housing and support services to low income British Columbians who are 55 years of age or older, and people of any age who have a disability or diminished ability. The numbers here exclude the number for Independent Living BC.","Low income person who is either a person with diminished ability or disability, or a senior 55 years +",Income-tested,,$13M,"6,317 units",,,,,,,"$12.8M for 6,452 units",,,,,,,
Subsidized Rental Housing,Subsidized Rental,Housing,Government of B.C.,Pure In-Kind,37,"Subsidized housing is long-term housing for low income people who permanently reside in British Columbia. Rental fees are calculated on a rent geared to income basis (30% of household total gross income, subject to minimum rent based on # of people). The numbers here are for non-RAP, non-SAFER subsidized housing.",Low Income,Means-tested,,$1M,276 units,,,,,,,"$998,000 over 276 units",,,,,,,
Supportive Housing (for low income adults),Support Housing,Housing,Government of B.C.,Pure In-Kind,38,"Supportive housing is subsidized housing with a range of on-site, non-clinical supports, such as life-skills training, and connections to primary health care, mental health or substance use services.",Low income persons with mental health or substance abuse issues,Income-tested,,$389M,"11,154 units",,,,,,,"$320M for 11,621 units",,,,,,,
Women's Transition Housing and Supports,Transition Houses,Housing,Government of B.C.,Pure In-Kind,39,"Provides housing services and supports for women and children who have experienced violence or are at risk of experiencing violence. Includes: transition houses, safe homes, and second-stage housing.",Women ages 19+ with or without dependent child(ren),,,$31.8M support + $11.3M Project Grants,875,,,,,,,$33.8M to support 864 units + $46.3M in project grants,,,,,,,
Fair Pharmacare,Fair Pharma.,Medical/Health,Government of B.C.,Pure In-Kind,40,"Fair PharmaCare helps B.C. families pay for eligible prescription drugs, dispensing fees and some medical.",,Income-tested,"<h6>Pharmacare Programs:</h6><ol style=""margin-top: -12px;""> <li> General Fair Pharmacare</li> <li>Residents of Residential Care Facilities (Plan B) </li> <li>Recipients of IA/DA/HA (Plac C)</li> <li>Cystic Fibrosis (Plan D)</li> <li>Children in the At-Home program (Plan F)</li> <li>Psychiatric Medication (Plan G)</li> <li>Pallitive Care (Plan P)</li> <li>First Nations (Plan W)</li> </ol>",$716.65M,"472,000 beneficiaries, 2.9M enrolled",,,,,,,,,,,,,,
Dental: Crown and bridge work,Dental: crown and bridge,Medical/Health,Government of B.C.,Pure In-Kind,41,,"Adult recipients of IA who are PPMB's, or adult recipients of DA.",,,,,,included in Basic Dental,,,,,,,,included in Basic Dental,,,,
Dental: Orthodontic Services,Dental: Orthodontic,Medical/Health,Government of B.C.,Pure In-Kind,42,Orthodontic Services may be covered for children in receipt of IA or DA and for recipients with PWD designation who have severe maxio-facial dental deformities.,"Recipients of IA, DA, or HA",,,,,,included in Basic Dental,,,,,,,,included in Basic Dental,,,,
Emergency Dental Services & Denture Services,Emergency Dental,Medical/Health,Government of B.C.,Pure In-Kind,43,"All IA, DA and HA recipients (adults and children) are covered for “Emergency Dental Services” for the relief of pain or infection","Recipients of IA, DA, or HA",,,,,,included in Basic Dental,,,,,,,,included in Basic Dental,,,,
Extended Medical Therapies,Extended Medical,Medical/Health,Government of B.C.,Pure In-Kind,44,"Supplement to assist with the cost of the following medical therapies: acupuncture, chiropractic, massage therapy, naturopathy, podiatry and physical therapy services above what MSP covers. Covers $23/visit.","Recipients of IA, DA, or HA. A medical practitioner or nurse practitioner must confirm an acute need and submit documentation to the ministry",,,,,,NA,,,,,,,,99 clients,,,,
Medical Equipment - Orthoses,Med. Equip. - Orthoses,Medical/Health,Government of B.C.,Pure In-Kind,45,Orthoses to assist with a medically essential need. Covered items is limited.,Recipient who is PPMB or is receiving DA. Item must be prescribed by a medical practitioner or nurse practitioner.,,,,,,reported under Medical Equipment and Devices,,,,,,,,"3,069 clients",,,,
Medical Equipment and Devices,Med. Equip. & Devices,Medical/Health,Government of B.C.,Pure In-Kind,46,"Medical equipment and devices to assist with a medically essential need such as: canes, crutches, walkers, wheelcharis, scooters, toileting aids, pressure relif mattresses, floor or ceiling lift devices, airway pressure devices, apnea monitors, inhalers, and non-conventional glucose meters.","Available to adult recipients of IA and DA who are PPMBs, PWDs, and their dependents. Item must be prescribed by a medical or nurse practitioner.",,,,,,$31.3M,,,,,,,,"9,224 clients",,,,
Medical Equipment- Hearing Instruments,Med. Equip. - Hearing,Medical/Health,Government of B.C.,Pure In-Kind,47,Hearing instruments and associated repairs,"Only for a recipient who is PPMB or receiving DA, or a parent who is hard of hearing and has a dependent child, or a recipient who requires an instrument to obtain employment and where failure to do so is a barrier to employment. Requires an audiologist or a registered hearing instrument practitioner to perform an assessment to confirm the need and prescribe the hearing instrument",,,,,,reported under Medical Equipment and Devices,,,,,,,,"2,991 individuals",,,,
Medical Supplies,Med. Supplies,Medical/Health,Government of B.C.,Pure In-Kind,48,"Medical or surgical supplies to avoid an imminent or substantial danger to health. Includes only: wound care, ongoing bowel care, catheterization, incontinence, skin parasite, limb circulation, food thickners, lancets, needles and syringes, ventilator suppies, and tracheostomy supplies.",Recipient who is PPMB or PWD designated and their dependents and have no other resources to meet that need. Supplies are prescribed by a medical practitioner or nursepractitioner.,,,,,,$15.3M,,,,,,,,"3,548 clients",,,,
Nutritional Supplement: Short-Term,Short-term Nutrition Supp.,Medical/Health,Government of B.C.,Pure In-Kind,49,"May be provided for up to 3 months for recipients who need additional calories above a regular diet to recover from surgery, severe injury, serious disease, or the side effects of medical treatment","Recipients of IA, DA, or HA. A medical practitioner or nurse practitioner confirms in writing that the recipient has an acute, short-term need (up to 3 months) for caloric supplementation to a regular dietary intake to prevent critical weight loss while recovering from: surgerya severe injury, a serious disease, orside effects of medical treatment.",,,,,,reported under Medical Supplies,,,,,,,,429 clients,,,,
Optical Services,Optical,Medical/Health,Government of B.C.,Pure In-Kind,50,"Specified optical services, including eye exams, basic eyewear and repairs andpre-authorized eyewear and repairs","Recipients of IA, DA, or HA",,,,,,$4.9M,,,,,,,,"31,347 individuals",,,,
Tube Feed Supplement,Tube Feed Supp. ,Medical/Health,Government of B.C.,Pure In-Kind,51,"Providesliquid nutritional product, equipment and supplies to recipients unable to take food orally or process it through the gastrointestinal system.","Recipients of IA, DA, or HA. Recipients submit prescription and diagnosis from a medical practitioner, nurse practitioneror a registered dietitian.",,,,,,reported under Medical Supplies,,,,,,,,479 clients,,,,
Alternative Hearing Assistance Supplement,Alternative Hearing Supp. ,Medical/Health,Government of B.C.,Pure In-Kind,52,Monthly alternative hearing assistance supplement to assist eligible persons to meet costs associated with overcoming barriers related to having permanent profound bilateral hearing loss. Eligible recipients receive $100/month.,DA or IA - PPMB only. Must have hearing loss in both ears and cannot significantly benefit from a hearing instrument for the purpose of speech comprehension.,,,,,,5400,,,,,,,,15 individuals,,,,
Basic Dental Services,Basic Dental,Medical/Health,Government of B.C.,Pure In-Kind,53,"Basic Dental Coverage Limits: Adults: $1,000 maximum every two calendar years. Children: $2,000 maximum every two calendar years","Adult recipients of IA who are PPMB's, or adult recipients of DA, and all children 18 and under whose parents/guardians receive IA, DA, or HA.",,,,,,$63.2M,,,,,,,,"144,651 individuals",,,,
Healthy Kids Program,Healthy Kids,Medical/Health,Government of B.C.,Pure In-Kind,54,"The Healthy Kids Program provides coverage for basic dental treatment, optical care and hearing assistance to children in low-income families, who are not in receipt of income assistance, disability assistance or hardship assistance.","Low income, not a recipient of IA, DA, or HA",Income-tested,,,,,$13.7M,"144,484",,,,,,,,,,,
Life Threatening Health Need,Life Threatening,Medical/Health,Government of B.C.,Pure In-Kind,55,"Access to medical equipment, medical supplies, or medical transportation to persons who are not otherwise eligible but who face a direct and imminent life-threatening health need and have no other resources to meet that need.","B.C. residents not eligible for IA, DA, or HA, but is eligible for MSP Premium Assistance, and has a direct and imminent life-threatening health need and no other resources to meet that need.",Means-tested,,,,,Included in Health Supp. Expenditures,,,,,,,,104 (Dec. 2018),,,,
Medical Services Only,MSO,Medical/Health,Government of B.C.,Pure In-Kind,56,"Provides continued access to specific health supplements to certain categories of former recipients of DA.
One of the major goals of MSO is to assist persons with the Persons with Disabilities designation to obtain and maintain employment by allowing them to retain their premium-assisted Medical Services Plan coverage as well as other health supplements as they move from disability assistance into financial independence.","Former recipients of DA, or former recipients of IA with a PPMB designation, who either have employment income that disqualifies them from DA/IA or federal transfers (OAS/GIS, CPP) that disqualifies them from DA/IA",Income-tested,,,,,Included in Health Supp. Expenditures,,,,,,,,"35,553 (Dec. 2018)",,,,
Supplementary Health Care Benefits ,Supp. Health Care,Medical/Health,Government of B.C.,Pure In-Kind,57,"The Supplementary Health Care Benefits program covers the cost of services such as acupuncture, chiropractic, massage therapy, naturopathy, physical therapy, and non surgical podiatry for eligible MSP beneficiaries",Acute need for additional therapy,,,,#N/A,,#N/A,,,,,,,,#N/A,,,,
Transitional Health Services,THS,Medical/Health,Government of B.C.,Pure In-Kind,58,Provides continued access to certain health supplements for up to one year to families with children who leave IA for employment. The intent of THS is to assist families with children to obtain and maintain employment by allowing them to retain their premium-assisted MSP coverage as well as other health supplements while they move from income assistance into financial independence.,"A member of a family unit that ceased to be eligible for IA as a result of employment income, and has a dependent child.",Income-tested,,,,,Included in Health Supp. Expenditures,,,,,,,,575 cases (Dec. 2018),,,,
Camp Fees Supplement,Camp Fees Supp. ,Children and Family,Government of B.C.,Pure In-Kind OR Bill Refund,59,Provided to fully or partially cover the cost of  a child's attendance at a recognized camp. Approved recipients the lesser of $200 or the actual cost of the camp.,"IA, DA, or HA recipient with Dependent child(ren)",,,,,,$0.2M,,,,,,,,785 issued,,,,
Transportation to Alcohol and Drug Facilities,Transport to Alcohol & Drug Fac.,Financial Supports: Non-Work,Government of B.C.,Pure In-Kind OR Bill Refund,60,To meet the costs of transportation to and from an approved special care facility for residential alcohol and drug treatment in B.C.,"IA, DA, or HA recipient",,,,,,$0.03M,,,,,,,,386 issued on 325 cases,,,,
Supplement for Alcohol and Drug Treatment,Alcohol & Drug Treat.,Medical/Health,Government of B.C.,Pure In-Kind OR Bill Refund,61,"Alcohol and drug treatment supplement to provide payment for alcohol and drug counselling services. Alcohol and drug counselling is provided through Health Authorities and is funded by the Ministry of Health (MOH). These programs fund both residential and non-residential services throughout the province. Counselling services are free to the public and may be used by the ministry’s recipients on a self-referral basis. In addition, numerous non-governmental organizations and privately-owned clinics provide counselling services on a fee for service basis.
SDPR’s Supplement for A&D Treatment assist SDPR clients to access counselling and other supports through these privately-run clinics.","IA, DA, or HA recipient",,,,,,$5.3M,,,,,,,,"9,871 clients",,,,
Fuel Tax Refund for Persons with Disabilities,Fuel Tax Refund PWD,Financial Supports: Non-Work,Government of B.C.,Bill Refund,62,The fuel tax refund program allows people with a qualifying disability to request a refund of the provincial motor fuel tax paid in B.C. on fuel used in an owned or leased vehicle.,Person with disabilities,,,,,,,,,,,,,,,,,,
Home Adaptations for Independence,Home Adaptions,Housing,Government of B.C.,Bill Refund,63,The Home Adaptations for Independence (HAFI) program provides financial assistance for home modifications for eligible low-income individuals with mobility or health issues. Subject to available funding.,Person with disabilities and low income,Means-tested,,$5.4M,322 units,,,,,,,$10M (50/50 Fed.-Prov. funding) to 650 units,,630 units,,,,,
Child Care Operating Funding ,CCOF,Children and Family,Government of B.C.,Cash Geared to Cost,64,Assists with the day-to-day costs of running a licensed child care facility. Applied for by the child care provider and paid directly to the child care provider.,Licensed child care facility.,,,$103.4M,,,,,,,,$118.9M,,"115,918",,,,,
Agreements with Young Adults,AYA,"Education, Training, and Employment",Government of B.C.,Cash Geared to Cost,65,"For persons who had been foster care or had a Youth Agreement, this program helps cover the cost of things like housing, child care, tuition and health care while they go back to school, or attend rehabilitation, vocational or approved life skills program","Formerly in foster care or under a Youth Agreement, and 19-26 years old.","Attending post-secondary, rehabilitation program, vocational program, or approved life skills program.",,"$10,183,183",301,,,,,,,,"$3,458,058",,,,,,
Travel Supplement,Travel Supp. ,"Education, Training, and Employment",Government of B.C.,Cash Geared to Cost,66,May be provided to assist with the cost of attending a self-help skill program or supported work-placement program approved by Community Living British Columbia (CLBC). Eligible recipients receive up to $46/month. Can be paid to the individual or transportation agency.,Persons with a developmental disability,,,,,,$1.1M,,,,,,,,"24,382 issued on 2,119 cases",,,,
WorkBC Apprentice Services (LMDA),Apprenticeship Services,"Education, Training, and Employment",Government of B.C.,Cash Geared to Cost,67,"Apprentices who meet Employment Insurance (EI) client eligibility requirements are eligible for financial supports WorkBC while participating in the classroom technical training components of their apprenticeship training. WorkBC Apprentice Services helps with expenses such as living supports, travel, dependent care and disability-related costs.",Apprentice training,Income-tested,,,,,,,,,,,,,,,,,
WorkBC Single Parent Employment Initiative (LMDA),Single Parent Employ. Services,"Education, Training, and Employment",Government of B.C.,Cash Geared to Cost,68,Provides financial and Employment Service Centres service/supports to single parents on income or disability assistance to help them re-enter the workforce.,Single Parent on IA or DA,,,,,,,,,,,,,,"1,292",,,,
"StudentAid BC: bursaries, loans, grants",StudentAid,"Education, Training, and Employment",Government of B.C.,Cash Geared to Cost,69,"StudentAid BC helps eligible students with the cost of their post-secondary education through loans, grants, scholarships, and other programs",,,,,,,,,,,,,,,,,,,
Youth Educational Assistance Fund for Former Youth in Care,YEAF,"Education, Training, and Employment",Government of B.C.,Cash Geared to Cost,70,"This program provides grants of up to $5,500 per program year to former BC youth in care students between 19 and 24 years of age. Students may receive a maximum of four grants",Former youth in care who are 19-24 years old,Attending post-secondary or other employment training,,,,,,,,,,,,,,,,,
Clothing Supplement for People in Special Care Facilities,Clothing Supp.,Financial Supports: Non-Work,Government of B.C.,Cash Geared to Cost,71,Supplement for the purchase of necessary clothing when clothing is not provided by the residential care facility and no alternative resources are available. ,"IA, DA, or HA recipient residing in a residential special care facility",,,,,,$0.34M,,,,,,,,"1,076 issued over 899 cases",,,,
Confirmed Job Supplement,Confirmed Job Supp.,Financial Supports: Non-Work,Government of B.C.,Cash Geared to Cost,72,Supplement may be provided to purchase the essential transportation and work-related items individuals need to begin a job.,IA and DArecipients with a confirmed offer of employment and where no other resources are available to cover the cost.,,,,,,$0.2M,,,,,,,,113 issued on 98 cases,,,,
Identification Supplement,ID Supp.,Financial Supports: Non-Work,Government of B.C.,Cash Geared to Cost,73,To cover the actual cost of obtaining identification for a person in the family unit (ID is required for all members of the family unit to be eligibel for IA or DA).,Hardship recipients (HA) only.,,,,,,$0.01M,,,,,,,,719 issued on 619 cases,,,,
