Level of Government Full,Level of Government,Responsible Ministry Full,Responsible Ministry,Administered By Full,Administered By,Full Program Name,Program,Show Name,Description,Eligbility,Conditions,ChildPrograms,Expenditures (2018/19),Number of Recipients (2018/19),Cases (July 2019),Expenditures (2017/18),Number of Eligible Children (March 2018),Base Program Funding (2018/19),Recipients (2017),Expenditures (2017),Budget (2019/20),Expenditures (2019 YTD),Recipient (2019 YTD),Recipients (2017/18),Recipients (2018),Expenditures (2018),Expenditures (2016),Recipients (2016/17),Total Expenditures,,colour3
Provincial,Government of British Columbia,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,WorkBC,WorkBC,Labour Market Development Agreement Programs,LMDA,TRUE,Provides support for those on Employment Insurance (EI) with skills training and employment assistance.,"Current and former EI claimants,or persons who have made EI contributions in last 5 of 10 years, or unemployed persons",,"<h6>Programs under LMDA:</h6><ol  style=""margin-top: -12px;""> <li>Single Parent Employment Initiative</li> <li>Employment Assistance Services</li> <li>Apprentice Services</li> <li>Assistive Technology Services</li> <li>Community and Employer Partnerships (CEP)</li></ol>",,"89,035 Work BC clients and 219 CEP inclusion groups in 24 projects",,,,"$299.79M LMDA, $29M Provincial",,,,,,,,,,,299790000,12,"""#8B4513"""
Provincial,Government of British Columbia,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Pacific Blue Cross,Pacific Blue Cross,Healthy Kids Program,Healthy Kids,TRUE,"The Healthy Kids Program provides coverage for basic dental treatment, optical care and hearing assistance to children in low-income families, who are not in receipt of income assistance, disability assistance or hardship assistance.","Low income, not a recipient of IA, DA, or HA",Income-tested,,,,,$13.7M,"144,484",,,,,,,,,,,,13700000,12,"""#8B4513"""
Provincial,Government of British Columbia,"Ministry of Advanced Education, Skills & Training","Advanced Education, Skills & Training",Douglas College,Douglas College,Career Paths for Skilled Immigrants,Career Paths,FALSE,This program provides services to help immigrants find skilled employment in BC using the education and experience they bring to Canada.  Services are customized to the participant's needs including support specific to in-demand occupations,A immigrant or Refugee or New to Canada who is unemployed or underemployed,,,,,,,,,,,,,,,,,,,,11,#A0522D
Provincial,Government of British Columbia,"Ministry of Advanced Education, Skills & Training","Advanced Education, Skills & Training","Ministry of Advanced Education, Skills & Training","Advanced Education, Skills & Training",Aboriginal Community-Based Training Partnerships Program,ACBTP,FALSE,"Through the Aboriginal Community-Based Training Partnerships (ACBTP) program, the Ministry funds partnerships between public Post-Secondary institutions (PSIs) and Indigenous communities to deliver education and training programs within communities",First nations or Aboriginal or Inuit,,,,,,,,,,,,,,,,,,,,11,#A0522D
Provincial,Government of British Columbia,"Ministry of Advanced Education, Skills & Training","Advanced Education, Skills & Training",Post-secondary,Post-secondary,Aboriginal Emergency Assistance Fund (post-secondary),AEAF,FALSE,Emergency financial assistance is provided by public post-secondary institutions to assist students who have urgent unforeseen financial needs that may prevent them from finishing their studies; students to contact the Aboriginal Student Services at their institution. Subject to available funding.,"First nations or Aboriginal or Inuit experiencing a short-term, unforeseen financial crisis",,,,,,,,,,,,,,,,,,,,11,#A0522D
Provincial,Government of British Columbia,"Ministry of Advanced Education, Skills & Training","Advanced Education, Skills & Training",Service provider,Service provider,Community Adult Literacy Program,Adult Literacy,FALSE,The Community Adult Literacy Program (CALP) is a community-based literacy initiative to promote and deliver adult literacy programs and services across the province; the goal of CALP is to increase the literacy and numeracy levels of adults 19 years and older through one on one or small group learning environments ,,,,,,,,,,,,,,,,,,$2.4M,"4,151 (unclear if this is programs funded or persons served)",2400000,11,#A0522D
Provincial,Government of British Columbia,"Ministry of Advanced Education, Skills & Training","Advanced Education, Skills & Training",StudentAid BC,StudentAid BC,BC access grant for students with permanent disabilities,Access Grant,FALSE,"This program helps full-time students with a permanent disability with the cost of education by replacing approximately $1,000 in B.C. student loan funding",Person with disabilities,"Attending post-secondary, income-tested",,,,,,,,,,,,,,,,,,,11,#A0522D
Provincial,Government of British Columbia,"Ministry of Advanced Education, Skills & Training","Advanced Education, Skills & Training",StudentAid BC,StudentAid BC,Provincial Tuition Waiver Program,Tuition Waiver,FALSE,This program waives tuition fees for B.C. students who are former youth in care between 19 and up to their 27th birthday who are attending a B.C. public post-secondary institution.,Former youth in care between 19-26 years old,Attending post-secondary,,$3.6M,806,,,,,,,,,,,,,,,3600000,11,#A0522D
Provincial,Government of British Columbia,"Ministry of Advanced Education, Skills & Training","Advanced Education, Skills & Training",StudentAid BC,StudentAid BC,"StudentAid BC: bursaries, loans, grants",StudentAid,TRUE,"StudentAid BC helps eligible students with the cost of their post-secondary education through loans, grants, scholarships, and other programs",,,,,,,,,,,,,,,,,,,,,11,#A0522D
Provincial,Government of British Columbia,"Ministry of Advanced Education, Skills & Training","Advanced Education, Skills & Training",StudentAid BC,StudentAid BC,Youth Educational Assistance Fund for Former Youth in Care,YEAF,FALSE,"This program provides grants of up to $5,500 per program year to former BC youth in care students between 19 and 24 years of age. Students may receive a maximum of four grants",Former youth in care who are 19-24 years old,Attending post-secondary or other employment training,,,,,,,,,,,,,,,,,,,11,#A0522D
Provincial,Government of British Columbia,"Ministry of Advanced Education, Skills & Training","Advanced Education, Skills & Training",WorkBC,WorkBC,Indigenous Skills Training Development Fund,ISTDF,FALSE,The ISTDF supports Indigenous community members (on and off reserve) in British Columbia's North and Lower Mainland to acquire the skills needed to respond to emerging resource-based opportunities,First nations or Aboriginal or Inuit,,,,,,,,,,,,,,,,,,,,11,#A0522D
Provincial,Government of British Columbia,"Ministry of Advanced Education, Skills & Training","Advanced Education, Skills & Training",WorkBC,WorkBC,Sector Labour Market Partnership Program,Senior LMP,FALSE,"Assists industry and employers understand and respond to changing labour market demands. The Program provides funding for partnership-led projects that address broader sector and regional labour market issues within B.C.'s diverse economy; five types of projects funded - engagement and planning, research, strategy development, strategy implementation, and evaluation  ",,,,,,,,,,,,,,,,,,,,,11,#A0522D
Provincial,Government of British Columbia,"Ministry of Advanced Education, Skills & Training","Advanced Education, Skills & Training",WorkBC,WorkBC,Workforce Development Agreement Programs,WDA,TRUE,Labour market programming,,,"<h6>WDA Programs:</h6><ol style=""margin-top: -12px;""><li>BC Employer Training Grant</li><li>Community Workforce Response Grant</li><li>Skills Training for Employment</li></ol>",$685M over 6 years,,,,,,,,,,,,,,,,685000000,11,#A0522D
Provincial,Government of British Columbia,Municipal Affairs and Housing,Municipal Affairs & Housing,BC Housing,BC Housing,Affordable Rental Housing,Affordable Rental Housing,TRUE,"Affordable rental housing is for people who have a low to moderate incomes but may not be eligible for subsidized housing. Affordable rental housing is housing with rents equal to, or lower than, average rates in the private-market",,Income-tested,,"$138M Operating Grants + $244M Project Grants = 40,100 units",,,,,,,,"$126M Operating Grants + $305M Project Grants to provide 42,190 units",,,,,,,,431000000,11,#D2691E
Provincial,Government of British Columbia,Municipal Affairs and Housing,Municipal Affairs & Housing,BC Housing,BC Housing,Home Adaptations for Independence,Home Adaptions,FALSE,The Home Adaptations for Independence (HAFI) program provides financial assistance for home modifications for eligible low-income individuals with mobility or health issues. Subject to available funding.,Person with disabilities and low income,Means-tested,,$5.4M,322 units,,,,,,,$10M (50/50 Fed.-Prov. funding) to 650 units,,630 units,,,,,,5400000,11,#D2691E
Provincial,Government of British Columbia,Municipal Affairs and Housing,Municipal Affairs & Housing,BC Housing,BC Housing,Homeless Rent Supplements,Homeless Rent Supp.,FALSE,"An initiative aimed at providing individuals in identified at-risk groups facing homelessness with portable rent supplements and support services to help them access rental housing in the private (non-subsidized) housing market. Includes: homeless outreach program, homeless prevention program, and BCH health services",Homeless,,,$31.8M,"3,751",,,,,,,$33.8M ,,"3,832",,,,,,31800000,11,#D2691E
Provincial,Government of British Columbia,Municipal Affairs and Housing,Municipal Affairs & Housing,BC Housing,BC Housing,Homeless Shelters ,Shelters,TRUE,A range of programs and services available in BC to assist people who are homeless or at risk of homelessness,Homeless,,,$102M,"4,779",,,,,,,$116M,,"5,142",,,,,,102000000,11,#D2691E
Provincial,Government of British Columbia,Municipal Affairs and Housing,Municipal Affairs & Housing,BC Housing,BC Housing,Independent Living ,Independent Living ,FALSE,"Independent Living BC (ILBC) is a subsidized, assisted-living program that provides housing with support services to seniors and people with disabilities. Persons who qualify live in theirr own unit in an assisted living residence.",Person with disability or seniors,Means-tested,,$41M for PWD's + $27M for seniors,"6,048 PWD's + 4,094 seniors",,,,,,,$40M for PWD's + $26M for seniors,,"6,101 PWD's + 4,094 seniors ",,,,,,68000000,11,#D2691E
Provincial,Government of British Columbia,Municipal Affairs and Housing,Municipal Affairs & Housing,BC Housing,BC Housing,Rental Assistance Program,RAP,TRUE,The Rental Assistance Program provides eligible low-income working families with cash assistance to help with their monthly rent payments.,"Households who are employed and low-income with dependent child(ren), paying more than 30% of gross monthly income to rent",Means-tested,,$50.4M,"9,276 units",,,,,,,"$64.3M over 10,900 units",,,,,,,,50400000,11,#D2691E
Provincial,Government of British Columbia,Municipal Affairs and Housing,Municipal Affairs & Housing,BC Housing,BC Housing,Seniors' Supportive Housing,Seniors' Support Housing,FALSE,"The Seniors' Supportive Housing Program provides housing and support services to low income British Columbians who are 55 years of age or older, and people of any age who have a disability or diminished ability. The numbers here exclude the number for Independent Living BC.","Low income person who is either a person with diminished ability or disability, or a senior 55 years +",Income-tested,,$13M,"6,317 units",,,,,,,"$12.8M for 6,452 units",,,,,,,,13000000,11,#D2691E
Provincial,Government of British Columbia,Municipal Affairs and Housing,Municipal Affairs & Housing,BC Housing,BC Housing,Shelter Aid for Elderly Renters,SAFER,TRUE,The Shelter Aid for Elderly Renters (SAFER) program helps make rents affordable for BC seniors with low to moderate incomes. SAFER provides monthly cash payments to subsidize rents for eligible BC residents who are age 60 or over and who pay rent for their homes,"Senior 60+ years, low income, and paying more than 30% of gross monthly income to rent",Income-tested,,$59.7M,"24,218 units",,,,,,,"$76.7M over 25,400 units",,,,,,,,59700000,11,#D2691E
Provincial,Government of British Columbia,Municipal Affairs and Housing,Municipal Affairs & Housing,BC Housing,BC Housing,Subsidized Rental Housing,Subsidized Rental,TRUE,"Subsidized housing is long-term housing for low income people who permanently reside in British Columbia. Rental fees are calculated on a rent geared to income basis (30% of household total gross income, subject to minimum rent based on # of people). The numbers here are for non-RAP, non-SAFER subsidized housing.",Low Income,Means-tested,,$1M,276 units,,,,,,,"$998,000 over 276 units",,,,,,,,1000000,11,#D2691E
Provincial,Government of British Columbia,Municipal Affairs and Housing,Municipal Affairs & Housing,BC Housing,BC Housing,Supportive Housing (for low income adults),Supportive Housing,FALSE,"Supportive housing is subsidized housing with a range of on-site, non-clinical supports, such as life-skills training, and connections to primary health care, mental health or substance use services.",Low income persons with mental health or substance abuse issues,Income-tested,,$389M,"11,154 units",,,,,,,"$320M for 11,621 units",,,,,,,,389000000,11,#D2691E
Provincial,Government of British Columbia,Municipal Affairs and Housing,Municipal Affairs & Housing,BC Housing,BC Housing,Women's Transition Housing and Supports,Transition Houses,FALSE,"Provides housing services and supports for women and children who have experienced violence or are at risk of experiencing violence. Includes: transition houses, safe homes, and second-stage housing.",Women ages 19+ with or without dependent child(ren),,,$31.8M support + $11.3M Project Grants,875,,,,,,,$33.8M to support 864 units + $46.3M in project grants,,,,,,,,43100000,11,#D2691E
Provincial,Government of British Columbia,Ministry of Finance,Finance,Canada Revenue Agency,Canada Revenue Agency,Basic Personal Tax Credit,Basic Personal Tax Credit,FALSE,"The basic personal tax credit is a non-refundable tax credit every BC resident is entitled to claim on his or her income tax return. It is the amount of income that can be earned before paying any provincial income tax multiplied by the tax rate for the lowest tax bracket. This amount changes year to year in order to keep up with inflation. In 2019, the base amount is $10,682. ",,"Must file taxes, income-tested",,,,,,,,,,,,,,,,,,,9,#FFF0F5
Provincial,Government of British Columbia,Ministry of Finance,Finance,Canada Revenue Agency,Canada Revenue Agency,BC Child Opportunity Benefit,Child Opportunity,TRUE,The B.C. Child Opportunity Benefit provides a tax-free monthly payment to families with children under the age of 18. It will be implmented in October 2020.,Dependent child(ren),Income-tested,,,,,,,,,,$400M,,,,,,,,400000000,9,#FFF0F5
Provincial,Government of British Columbia,Ministry of Finance,Finance,Canada Revenue Agency,Canada Revenue Agency,BC Climate Action Tax Credit,Climate Action Credit,TRUE,The BC climate action tax credit helps offset the impact of the carbon taxes paid by individuals or families. The amount of the credit depends upon the family size and adjusted family net income.The credit is combined with the federal goods and services tax/ harmonized sales tax (GST/HST) credit into one quarterly payment,Low Income,Income-tested,,,,,,,,,,,,,,,,$195M,,195000000,9,#FFF0F5
Provincial,Government of British Columbia,Ministry of Finance,Finance,Canada Revenue Agency,Canada Revenue Agency,BC Home Renovation Tax Credit,Home Renovation,FALSE,The Home Renovation Tax Credit for Seniors and Persons with Disabilities assists eligible individuals 65 and over and persons with disabilities with the cost of certain permanent home renovations to improve accessibility or be more functional or mobile at home,Person with disabilities eligible for the Disability Tax Credit or seniors,,,,,,,,,,,,,,,,,"$212,861 ",,"$212,861 ",9,#FFF0F5
Provincial,Government of British Columbia,Ministry of Finance,Finance,Canada Revenue Agency,Canada Revenue Agency,BC Sales Tax Credit,Sales Tax Credit,TRUE,The Sales Tax Credit is a program designed to offset the cost of sales tax for low-income taxpayers and their families residing in BC as of December 31st of the tax year,Low Income,"Income-tested, must file taxes plus the additional form",,,,,,,,,,,,,,,,$45M,,45000000,9,#FFF0F5
Provincial,Government of British Columbia,Ministry of Finance,Finance,Canada Revenue Agency,Canada Revenue Agency,BC Tax Reduction Credit,Tax Reduction Credit,TRUE,"The B.C. tax reduction credit is a non-refundable tax credit for individuals who have a net income below a certain amount. The credit is reduced by a percentage of an individual's net income over the threshold amount. For the 2018 tax year, the net income threshold is $20,144 and the reduction factor is 3.56%.",Low Income,"Income-tested, must file taxes",,,,,,,,,,,,,,,,$152M,,152000000,9,#FFF0F5
Provincial,Government of British Columbia,Ministry of Finance,Finance,Ministry of Finance,Finance,Fuel Tax Refund for Persons with Disabilities,Fuel Tax Refund PWD,FALSE,The fuel tax refund program allows people with a qualifying disability to request a refund of the provincial motor fuel tax paid in B.C. on fuel used in an owned or leased vehicle.,Person with disabilities,,,,,,,,,,,,,,,,,,,,9,#FFF0F5
Provincial,Government of British Columbia,Ministry of Finance,Finance,Ministry of Finance,Finance,Property Tax Deferral,PTD,FALSE,Tax deferment is a low interest loan program that helps qualified B.C. homeowners pay their annual property taxes on their principal residence.,"Person with disability or senior or a surviving spouse of any age with minimum 25% equity in home. A homeowner may qualify for the Families with Children program if they are a parent, step-parent, or are financially supporting a child.",,,$253M (amount deferred),"49,212 renewals + 11,394 new applicants",,,,,,,"$240M (amount deferred) for estimated 52,000 renewals + 13,000 new applicants",,,"54,431",,,,,,9,#FFF0F5
Provincial,Government of British Columbia,Ministry of Finance,Finance,Municipality,Municipality,Home Owner Grant,HOG,TRUE,"The home owner grant reduces the amount of property tax you pay for your principal residence. Supplemental grants are available for sub-populations: seniors, veterans, and people with disabilities",,,,,,,,,,,,,"<h6>Expenditures (2019) </h6><ol><li>General: $437M</li><li>Persons with disabilities: $6.3M</li><li>Senior: $373M</li><li>Veteran: $21,000</li><li>Low Income Grant Supplement for People with Disabilities or Seniors: $379,000</li><li>Low Income Grant Supplement for Veterans: $2,700</li></ol>","<h6>Recipients (2019 YTD)</h6><ol><li>General: 896,000</li><li>Persons with disabilities: 8,500</li><li>Senior: 414,000</li><li>Veteran: 30</li><li>Low Income Grant Supplement for People with Disabilities or Seniors: 600</li><li>Low Income Grant Supplement for Veterans: 10</li></ol>",,,,,,816727000,9,#FFF0F5
Provincial,Government of British Columbia,Ministry of Attorney General,Attorney General,Service provider,Service provider,Legal Aid,Legal Aid,FALSE,"The Legal Services Society offers a range of free legal services to all British Columbians, with priority given to people with low incomes. Services include legal information, advice, and representation",,,,,,,,,,,,,,,,,,,,,1,#FFF0F5
Provincial,Government of British Columbia,Ministry of Children and Family Development,Children & Family Development,Ministry of Children and Family Development,Children & Family Development,Affordable Child Care Benefit,ACCB,TRUE,"The ACCB helps families with the cost of child care, depending on factors like family size, type of care and household income. In most cases, the child's caregivers pay the reduced child care fee, and the child care provider receives the payment.","Dependent child requiring childcare because recipient is: searching for work, attending school, is employed, or has a medical condition that interferes with their ability to care for their child.",Income-tested,,,,,,,,,,$234.4M,,"33,566 families",,,,,,234400000,4,#FFF0F5
Provincial,Government of British Columbia,Ministry of Children and Family Development,Children & Family Development,Ministry of Children and Family Development,Children & Family Development,Agreements with Young Adults,AYA,FALSE,"For persons who had been foster care or had a Youth Agreement, this program helps cover the cost of things like housing, child care, tuition and health care while they go back to school, or attend rehabilitation, vocational or approved life skills program","Formerly in foster care or under a Youth Agreement, and 19-26 years old.","Attending post-secondary, rehabilitation program, vocational program, or approved life skills program.",,"$10,183,183 ",301,,,,,,,,"$3,458,058 ",,,,,,,"$10,183,183 ",4,#FFF0F5
Provincial,Government of British Columbia,Ministry of Children and Family Development,Children & Family Development,Ministry of Children and Family Development,Children & Family Development,Child Care Operating Funding ,CCOF,FALSE,Assists with the day-to-day costs of running a licensed child care facility. Applied for by the child care provider and paid directly to the child care provider.,Licensed child care facility.,,,$103.4M,,,,,,,,$118.9M,,"115,918",,,,,,118900000,4,#FFF0F5
Provincial,Government of British Columbia,Ministry of Children and Family Development,Children & Family Development,Ministry of Children and Family Development,Children & Family Development,Childcare Fee Reduction Initiative,CCFRI,FALSE,The purpose of the CCFRI is to help enhance childcare affordability through parent fee reduction funding and stabilized childcare fees.  Parents do not need to apply for the fee reduction. Child care providers need to apply in order to receive funding. Participation in CCFRI is voluntary.,Licensed child care facility receiving CCOF.,,,$105.2M,,,,,,,,$97.1M,,"56,210",,,,,,97100000,4,#FFF0F5
Provincial,Government of British Columbia,Ministry of Labour,Labour,Ministry of Labour,Labour,Minimum Wage Regulation,Minimum Wage,FALSE,,,,,,,,,,,,,,,,,,,,,,4,#FFF0F5
Provincial,Government of British Columbia,Ministry of Labour,Labour,WorkSafeBC,WorkSafeBC,WorkSafe BC: Health Care Benefits,Health Care Benefits,FALSE,"Provides health care coverage for workers injured at work. Once reports are received from an injured worker, their employer, and their health care provider(s), and the claim is accepted, health care benefits cover the cost of the health care services and supplies that are considered reasonably necessary to treat the injuries. This may include medical treatments, hospitalization, medical supplies, rehabilitation, and medications.",Injured at work.,,,,,,,,,"52,422 (health care only claims)","$55,366,907 (health care only claims)",,,,,,,,,55366907,4,#FFF0F5
Provincial,Government of British Columbia,Ministry of Labour,Labour,WorkSafeBC,WorkSafeBC,WorkSafe BC: Permanent Disability Benefit ,Perm Disability Benefit,TRUE,"If an injury at work results in a disability, and that disability is likely to impair future earning capacity, the injured worker may be eligible for a permanent disability award. The amount of the award depends on the circumstances of the claim.",Injured at work resulting in a disability that impairs future earnings.,,,,,,,,,"5,461 (new claims)","$616,664,347 (new claims)",,,,,,,,,616664347,4,#FFF0F5
