Program,Program Type/Target,Level of Government,Managed by (Ministry):,Ministry - point of contact/administration:,Ministry - point of contact/administration - government:,Importance Ranking
WorkBC Single Parent Employment Initiative (LMDA),"Education, Training, and Employment",Provincial,Ministry of Social Development and Poverty Reduction ,WorkBC,Provincial,2
WorkBC Single Parent Employment Initiative (LMDA),"Education, Training, and Employment",Provincial,Ministry of Social Development and Poverty Reduction ,WorkBC,Provincial,2
WorkBC: The Community and Employer Partnerships Program (LMDA),"Education, Training, and Employment",Provincial,Ministry of Social Development and Poverty Reduction ,WorkBC,Provincial,1
Provincial Tuition Waiver Program,"Education, Training, and Employment",Provincial,"Ministry of Advanced Education, Skills & Training",,,1
Youth Educational Assistance Fund for Former Youth in Care,"Education, Training, and Employment",Provincial,"Ministry of Advanced Education, Skills & Training",StudentAid BC,Provincial,1
RESP,"Education, Training, and Employment",Voluntary Savings,,,,1
Federal Internship for Newcomers Program,"Education, Training, and Employment",Federal,"Immigration, Refugees, and Citizenship Canada",,,1
Language Instruction for Newcomers to Canada,"Education, Training, and Employment",Federal,"Immigration, Refugees, and Citizenship Canada",,,1
Career Paths for Skilled Immigrants,"Education, Training, and Employment",Provincial,"Ministry of Advanced Education, Skills & Training",Douglas College,Provincial,1
Minimum Wage Regulation,Financial Supports: Non-Work,Regulation,,,,1
RDSP ,Financial Supports: Non-Work,Voluntary Savings,,,,1
RRSP,Financial Supports: Non-Work,Voluntary Savings,,,,1
TFSA,Financial Supports: Non-Work,Voluntary Savings,,,,1
Canadian Forces Disability Benefits,Financial Supports: Non-Work,Federal,Veterans Affairs Canada,,,1
Canadian Forces Income Support,Financial Supports: Non-Work,Federal,Veterans Affairs Canada,,,1
Veteran Exceptional Incapacity Allowance,Financial Supports: Non-Work,Federal,Veterans Affairs Canada,,,1
Veteran's Attendance Allowance,Financial Supports: Non-Work,Federal,Veterans Affairs Canada,,,1
Veterans Clothing Allowance,Financial Supports: Non-Work,Federal,Veterans Affairs Canada,,,1
Veteran's Detention Benefit,Financial Supports: Non-Work,Federal,Veterans Affairs Canada,,,1
Veteran's Independence Program,Financial Supports: Non-Work,Federal,Veterans Affairs Canada,,,1
Veteran's Independence Program,Financial Supports: Non-Work,Federal,Veterans Affairs Canada,,,1
Veteran's Independence Program for Survivors,Financial Supports: Non-Work,Federal,Veterans Affairs Canada,,,1
Veteran's Independence Program for Survivors,Financial Supports: Non-Work,Federal,Veterans Affairs Canada,,,1
War Veterans Allowance,Financial Supports: Non-Work,Federal,Veterans Affairs Canada,,,1
War Veterans Death Benefit,Financial Supports: Non-Work,Federal,Veterans Affairs Canada,,,1
War Veteran's Funeral and Burial Assistance,Financial Supports: Non-Work,Federal,Veterans Affairs Canada,,,1
War Veteran's Prisoner of War Compensation,Financial Supports: Non-Work,Federal,Veterans Affairs Canada,,,1
Immigration Loans Program ,Financial Supports: Non-Work,Federal,"Immigration, Refugees, and Citizenship Canada",,,1
Resettlement Assistance Program,Financial Supports: Non-Work,Federal,"Immigration, Refugees, and Citizenship Canada",,,1
Resettlement Assistance Program,Financial Supports: Non-Work,Federal,"Immigration, Refugees, and Citizenship Canada",,,1
Right of Permanent Residence Fee Loan,Financial Supports: Non-Work,Federal,"Immigration, Refugees, and Citizenship Canada",,,1
Allowance for People Aged 60 to 64,Financial Supports: Non-Work,Federal,Employment and Social Development Canada,Service Canada,Federal,1
Allowance for the Survivor,Financial Supports: Non-Work,Federal,Employment and Social Development Canada,Service Canada,Federal,1
Disability Savings Bonds,Financial Supports: Non-Work,Federal,Employment and Social Development Canada,,,1
Disability Savings Grant,Financial Supports: Non-Work,Federal,Employment and Social Development Canada,,,1
Disability Tax Credit,Financial Supports: Non-Work,Federal,Department of Finance,Canada Revenue Agency,Federal,2
Excise Gasoline Tax Refund,Financial Supports: Non-Work,Federal,Department of Finance,Canada Revenue Agency,Federal,1
GST/HST Credit,Financial Supports: Non-Work,Federal,Department of Finance,Canada Revenue Agency,Federal,2
Guaranteed Income Supplement,Financial Supports: Non-Work,Federal,Employment and Social Development Canada,Service Canada,Federal,2
Old Age Security Pension,Financial Supports: Non-Work,Federal,Employment and Social Development Canada,Service Canada,Federal,2
BC Bus Pass for Seniors,Financial Supports: Non-Work,Provincial,Transportation and Infastructure,BC Buss Pass Program,Provincial,2
BC Farmer's Market Nutrition Program,Financial Supports: Non-Work,Provincial,Health,,,1
BC Farmer's Market Nutrition Program,Financial Supports: Non-Work,Provincial,Health,,,1
BC Farmer's Market Nutrition Program,Financial Supports: Non-Work,Provincial,Health,,,1
BC Tax Reduction Credit,Financial Supports: Non-Work,Provincial,Finance,Canada Revenue Agency,Federal,2
Camp Fees Supplement,Children and Family,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,1
Christmas Supplement,Financial Supports: Non-Work,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,1
BC Climate Action Tax Credit,Financial Supports: Non-Work,Provincial,Finance,Canada Revenue Agency,Federal,2
Clothing Supplement for People in Special Care Facilities,Financial Supports: Non-Work,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,1
CommunityLink Funding and Vulnerable Student Supplement,Financial Supports: Non-Work,Provincial,Ministry of Education,,,1
Confirmed Job Supplement,Financial Supports: Non-Work,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,1
Disability Assistance,Financial Supports: Non-Work,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,2
Fuel Tax Refund for Persons with Disabilities,Financial Supports: Non-Work,Provincial,Finance,"Revenue Division, Consumer Taxation Programs",Provincial,1
Funeral Costs,Financial Supports: Non-Work,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,1
Hardship Assistance,Financial Supports: Non-Work,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,2
Hardship Assistance,Financial Supports: Non-Work,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,2
Identification Supplement,Financial Supports: Non-Work,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,1
Income Assistance (employable),Financial Supports: Non-Work,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,2
Income Assistance (PPMB designation),Financial Supports: Non-Work,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,2
Legal Aid,Financial Supports: Non-Work,Provincial,Ministry of Attorney General,,,1
Recreation Financial Assistance Programs,Financial Supports: Non-Work,Municipal ,,,,1
BC Sales Tax Credit,Financial Supports: Non-Work,Provincial,Finance,Canada Revenue Agency,Federal,2
Seniors Supplement,Financial Supports: Non-Work,Provincial,Ministry of Social Development and Poverty Reduction ,Canada Revenue Agency,Federal,2
Transportation Supplement  ,Financial Supports: Non-Work,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,2
Transportation Supplement  ,Financial Supports: Non-Work,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,2
Transportation to Alcohol and Drug Facilities,Financial Supports: Non-Work,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,1
Crime Victim Assistance Program,Financial Supports: Non-Work,Provincial,Ministry of Public Safety & Solicitor General,VictimLinkBC,Provincial,1
Crime Victim Assistance Program,Financial Supports: Non-Work,Provincial,Ministry of Public Safety & Solicitor General,VictimLinkBC,Provincial,1
Victim Travel Fund,Financial Supports: Non-Work,Provincial,Ministry of Public Safety & Solicitor General,VictimLinkBC,Provincial,1
Canadian Forces Income Replacement Benefit,Financial Supports: Work-Related,Federal,Veterans Affairs Canada,,,1
Canadian Benefit for Parents of Young Victims of Crime,Financial Supports: Work-Related,Federal,Employment and Social Development Canada,Service Canada,Federal,1
CPP: Children's Benefits,Financial Supports: Work-Related,Federal,Employment and Social Development Canada,Service Canada,Federal,1
CPP: Children's Benefits,Financial Supports: Work-Related,Federal,Employment and Social Development Canada,Service Canada,Federal,1
CPP: Death Benefit,Financial Supports: Work-Related,Federal,Employment and Social Development Canada,Service Canada,Federal,1
CPP: Disability Benefit,Financial Supports: Work-Related,Federal,Employment and Social Development Canada,Service Canada,Federal,2
CPP: Retirement Pension,Financial Supports: Work-Related,Federal,Employment and Social Development Canada,Service Canada,Federal,2
CPP: Survivor's Pension,Financial Supports: Work-Related,Federal,Employment and Social Development Canada,Service Canada,Federal,1
Employment Insurance (EI): regular benefits,Financial Supports: Work-Related,Federal,Employment and Social Development Canada,Service Canada,Federal,2
Employment Insurance: caregiving benefits (adult and/or child(ren)),Financial Supports: Work-Related,Federal,Employment and Social Development Canada,Service Canada,Federal,1
Employment Insurance: family supplement,Financial Supports: Work-Related,Federal,Employment and Social Development Canada,Service Canada,Federal,2
Employment Insurance: maternity and parental,Financial Supports: Work-Related,Federal,Employment and Social Development Canada,Service Canada,Federal,2
Employment Insurance: sickness,Financial Supports: Work-Related,Federal,Employment and Social Development Canada,Service Canada,Federal,2
Workers Comp. (federal employees),Financial Supports: Work-Related,Federal,Employment and Social Development Canada,WorkSafeBC,Provincial,1
WorkSafe BC: Health Care Benefits,Financial Supports: Work-Related,Provincial,Ministry of Labour,WorkSafeBC,Provincial,1
WorkSafe BC: Permanent Disability Benefit (long-term disability),Financial Supports: Work-Related,Provincial,Ministry of Labour,WorkSafeBC,Provincial,2
WorkSafe BC: Wage loss benefits,Financial Supports: Work-Related,Provincial,Ministry of Labour,WorkSafeBC,Provincial,2
Working Income Tax Benefit (WITB),Financial Supports: Work-Related,Federal,Department of Finance,Canada Revenue Agency,Federal,1
Canada Worker's Benefit (CWB),Financial Supports: Work-Related,Federal,Department of Finance,Canada Revenue Agency,Federal,2
Canada Worker's Benefit (CWB): Disability Supplement,Financial Supports: Work-Related,Federal,Department of Finance,Canada Revenue Agency,Federal,2
First Time Home Buyer Incentive,Housing,Federal,"Families, Children, and Social Development",Canada Mortgage and Housing Corporation,Federal,1
GST/HST New Housing Rebate,Housing,Federal,Employment and Social Development Canada,Canada Revenue Agency,Federal,1
Home Buyer's Plan,Housing,Federal,Employment and Social Development Canada,Canada Revenue Agency,Federal,1
Housing Supply Challenge,Housing,Federal,"Families, Children, and Social Development",Canada Mortgage and Housing Corporation,Federal,1
Vancouver Rent Bank,Housing,NGO,,,,1
Affordable Rental Housing,Housing,Provincial,Municipal Affairs and Housing,BC Housing,Provincial,2
Regular Home Owner Grant,Housing,Provincial,Finance,"Revenue Division, Property Taxation Branch",Provincial,1
BC Home Renovation Tax Credit,Housing,Provincial,Finance,Canada Revenue Agency,Federal,1
BC Home Renovation Tax Credit,Housing,Provincial,Finance,Canada Revenue Agency,Federal,1
BC Hydro Customer Crisis Fund,Housing,Provincial,"Ministry of Energy, Mines, and Petroleum Resources",BC Hydro,Provincial,2
Co-op Share Purchase Supplement,Housing,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,1
Energy Conservation Assistance Program,Housing,Provincial,"Ministry of Energy, Mines, and Petroleum Resources",BC Hydro,Provincial,1
Home Adaptations for Independence,Housing,Provincial,Municipal Affairs and Housing,BC Housing,Provincial,1
Home Owner Grant: Low Income Grant Supplement for Seniors,Housing,Provincial,Finance,"Revenue Division, Property Taxation Branch",Provincial,1
Home Owner Grant: Low Income Grant Supplement for People with Disabilities,Housing,Provincial,Finance,"Revenue Division, Property Taxation Branch",Provincial,1
Home Owner Grant: Low Income Grant Supplement for Veterans,Housing,Provincial,Finance,"Revenue Division, Property Taxation Branch",Provincial,1
Homeless Shelters and Services,Housing,Provincial,Municipal Affairs and Housing,BC Housing,Provincial,2
Independent Living BC Program,Housing,Provincial,Municipal Affairs and Housing,BC Housing,Provincial,1
Independent Living BC Program,Housing,Provincial,Municipal Affairs and Housing,BC Housing,Provincial,1
"Moving, Transportation and Living Costs",Housing,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,1
Pre-natal Shelter Supplement,Housing,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,1
Property Tax Deferral,Housing,Provincial,Finance,"Revenue Division, Property Taxation Branch",Provincial,1
Property Tax Deferral,Housing,Provincial,Finance,"Revenue Division, Property Taxation Branch",Provincial,1
Property Tax Deferral: Families with Children,Housing,Provincial,Finance,"Revenue Division, Property Taxation Branch",Provincial,1
Rental Assistance Program,Housing,Provincial,Municipal Affairs and Housing,BC Housing,Provincial,2
Security Deposits,Housing,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,1
Seniors' Supportive Housing,Housing,Provincial,Municipal Affairs and Housing,BC Housing,Provincial,1
Seniors' Supportive Housing,Housing,Provincial,Municipal Affairs and Housing,BC Housing,Provincial,1
Supportive Housing (for low income adults),Housing,Provincial,Municipal Affairs and Housing,BC Housing,Provincial,1
Shelter Aid for Elderly Renters,Housing,Provincial,Municipal Affairs and Housing,BC Housing,Provincial,2
Subsidized Rental Housing,Housing,Provincial,Municipal Affairs and Housing,BC Housing,Provincial,2
Transition Houses,Housing,Provincial,Municipal Affairs and Housing,BC Housing,Provincial,1
Utility Security Deposits,Housing,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,1
Indian Residential Schools Resolution Health Support Program,Medical/Health,Federal,Health Canada,First Nations Health Authority,First Nations,1
Medical Expenses Tax Credit,Medical/Health,Federal,Department of Finance,Canada Revenue Agency,Federal,1
Non-Insured Health Benefits Program,Medical/Health,Federal,Health Canada,First Nations Health Authority,First Nations,1
Alternative Hearing Assistance Supplement,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,Pacific Blue Cross,Provincial,1
Basic Dental Services,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,Pacific Blue Cross,Provincial,1
Dental: Crown and bridge work,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,Pacific Blue Cross,Provincial,1
Diet Supplements,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,1
Emergency Dental Services & Denture Services,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,Pacific Blue Cross,Provincial,1
Extended Medical Therapies,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,Health Assistance Branch,Provincial,1
Supplementary Health Care Benefits ,Medical/Health,Provincial,Health,,,1
Fair Pharmacare,Medical/Health,Provincial,Health,BC Pharmacare,Provincial,2
Fair Pharmacare (Plan C),Medical/Health,Provincial,Health,BC Pharmacare,Provincial,2
Guide Dog and Service Dog Supplement,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA),Provincial,1
Healthy Kids Program,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,Pacific Blue Cross,Provincial,2
Life-Threatening Health Needs,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA) AND Health Assistance Branch,Provincial,1
Medical Equipment - Orthoses,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,Health Assistance Branch,Provincial,1
Medical Equipment - Orthoses,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,Health Assistance Branch,Provincial,1
Medical Equipment and Devices,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA) AND Health Assistance Branch,Provincial,1
Medical Equipment and Devices,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA) AND Health Assistance Branch,Provincial,1
Medical Equipment- Hearing Instruments,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,Pacific Blue Cross,Provincial,1
Medical Equipment- Hearing Instruments,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,Pacific Blue Cross,Provincial,1
Medical Services Only Category,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,,,1
Medical Services Plan: Regular Premium Assistance,Medical/Health,Provincial,Health,Health Insurance BC,Provincial,2
Medical Services Plan: Premium Free Medical Coverage,Medical/Health,Provincial,Health,Health Insurance BC,Provincial,2
Medical Services Plan: Temporary Premium Assistance,Medical/Health,Provincial,Health,Health Insurance BC,Provincial,1
Medical Supplies,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA) AND Health Assistance Branch,Provincial,1
Medical Supplies,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA) AND Health Assistance Branch,Provincial,1
Medical Transportation Supplement,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA) AND Health Assistance Branch,Provincial,1
Medical Transportation Supplement,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA) AND Health Assistance Branch,Provincial,1
Monthly Nutritional Supplement,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA) AND Health Assistance Branch,Provincial,1
Natal Supplement,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA) ,Provincial,1
Nutritional Supplement: Short-Term,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA) AND Health Assistance Branch,Provincial,1
Optical Services,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,Pacific Blue Cross,Provincial,1
Dental: Orthodontic Services,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,Pacific Blue Cross,Provincial,1
Dental: Orthodontic Services,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,Pacific Blue Cross,Provincial,1
Supplement for Alcohol and Drug Treatment,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA) ,Provincial,1
Transitional Health Services ,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA) ,Provincial,1
Tube Feed Supplement,Medical/Health,Provincial,Ministry of Social Development and Poverty Reduction ,BC Employment and Assistance (BCEA) AND Health Assistance Branch,Provincial,1
