Full Program Name,Program,Program Type/Target,Level of Government,Cash to In-Kind Spectrum,Child,Child Full Name,Number of Recipients (2017/2018),Expenditures (2017/2018),Number of Recipients (2018/2019),Expenditures (2018/2019),Notes,Description,Eligibility
General Supplements,General Supp.,Children and Family,Government of B.C.,Refundable tax credit,Temp. Child Ben. Top-up,Temporary Child Benefits Top-Up Supplement,included under Automatic Child Benefit,included under Automatic Child Benefit,,,,Provided in specific circumstances when families are temporarily without the Federal Canada Child Benefit (CCB),Dependent child(ren)
General Supplements,General Supp.,Financial Supports: Non-Work,Government of B.C.,Pure In-Kind,Transport Supp.,Transportation Supplement  ,,,"Total: 120,146 recipients. Of those, 79,315 (66%) received cash and 41,111 (44%) received a bus pass",$72.4M,Provided to DA recipients only,A monthly transportation supplement. The individual has the choice of receiving $52/month or an in-kind annual bus pass.,
General Supplements,General Supp.,Financial Supports: Non-Work,Government of B.C.,Pure In-Kind OR Bill Refund,Transport to Alcohol & Drug Fac.,Transportation to Alcohol and Drug Facilities,386 issued on 325 cases,$0.03M,,,,To meet the costs of transportation to and from an approved special care facility for residential alcohol and drug treatment in B.C.,
General Supplements,General Supp.,"Education, Training, and Employment",Government of B.C.,Cash Geared to Cost,Travel Supp. ,Travel Supplement,"24,382 issued on 2,119 cases",$1.1M,,,,May be provided to assist with the cost of attending a self-help skill program or supported work-placement program approved by Community Living British Columbia (CLBC). Eligible recipients receive up to $46/month. Can be paid to the individual or transportation agency.,Persons with a developmental disability
General Supplements,General Supp.,Housing,Government of B.C.,Cash Geared to Cost,Utility Deposit,Utility Security Deposits,962 issued on 909 cases,$0.3M,,,,To assist with the cost of securing service for electricity or natural gas.This is a repayable supplement. Payment recovered through monthly $20 reduction in assistance payment. The amount of the supplement is the minimum amount required by the utility provider as a security deposit. ,
General Supplements,General Supp.,Financial Supports: Non-Work,Government of B.C.,Pure Cash Transfer,X-mas Supp.,Christmas Supplement,"144,415 cases",$6.31M,,,,"Annual supplement to assist with extra expenses at Christmas. Automatically included in December assistance payment. Single persons receive $35, childless couples recieves $70, and families with children receive $70 plus $10 for each dependent child.",
Health Supplements,Health Supp.,Medical/Health,Government of B.C.,Pure In-Kind OR Bill Refund,Alcohol & Drug Treat.,Supplement for Alcohol and Drug Treatment,"9,871 clients",$5.3M,,,,"Alcohol and drug treatment supplement to provide payment for alcohol and drug counselling services. Alcohol and drug counselling is provided through Health Authorities and is funded by the Ministry of Health (MOH). These programs fund both residential and non-residential services throughout the province. Counselling services are free to the public and may be used by the ministry’s recipients on a self-referral basis. In addition, numerous non-governmental organizations and privately-owned clinics provide counselling services on a fee for service basis.
SDPR’s Supplement for A&D Treatment assist SDPR clients to access counselling and other supports through these privately-run clinics.",
Health Supplements,Health Supp.,Medical/Health,Government of B.C.,Pure In-Kind,Alternative Hearing Supp. ,Alternative Hearing Assistance Supplement,15 individuals,"$5,400 ",,,,Monthly alternative hearing assistance supplement to assist eligible persons to meet costs associated with overcoming barriers related to having permanent profound bilateral hearing loss. Eligible recipients receive $100/month.,DA or PPMB only. Must have hearing loss in both ears and cannot significantly benefit from a hearing instrument for the purpose of speech comprehension.
Health Supplements,Health Supp.,Medical/Health,Government of B.C.,Pure In-Kind,Basic Dental,Basic Dental Services,"144,651 individuals",$63.2M,,,,"Basic Dental Coverage Limits: Adults: $1,000 maximum every two calendar years. Children: $2,000 maximum every two calendar years","Adult recipients of IA who are PPMB's, or adult recipients of DA, and all children 18 and under whose parents/guardians receive IA, DA, or HA."
Health Supplements,Health Supp.,Medical/Health,Government of B.C.,Pure In-Kind,Dental: crown and bridge,Dental: Crown and bridge work,included in Basic Dental,included in Basic Dental,,,,,"Adult recipients of IA who are PPMB's, or adult recipients of DA."
Health Supplements,Health Supp.,Medical/Health,Government of B.C.,Pure In-Kind,Dental: Orthodontic,Dental: Orthodontic Services,included in Basic Dental,included in Basic Dental,,,,Orthodontic Services may be covered for children in receipt of IA or DA and for recipients with PWD designation who have severe maxio-facial dental deformities.,
Health Supplements,Health Supp.,Medical/Health,Government of B.C.,Cash Geared to Cost,Diet Supp.,Diet Supplements,"163,057 issued on 15,769 cases",$6.2M,,,,"To assist in meeting costs of a therapeutic diet that is required as result of specific medical condition or dietary need (i.e. reduced sodium diet - $10/month, diabetes - $35/month, kidney dialysis - $40/month, gluten-free - $40/month, dysphagia - $40/month, cystic fibrosis - $50/month, ketogenic - $40/month, high protein diet for medical reasons - $40/month, and low phenylalanine diet - $40/month). Persons already receiving another nutritional-related supplement are not eligible for diet supplements.","Must provided written documentation of need from medical practitioner, nurse practitioner, or registered dietician. "
Health Supplements,Health Supp.,Medical/Health,Government of B.C.,Pure In-Kind,Emergency Dental,Emergency Dental Services & Denture Services,included in Basic Dental,included in Basic Dental,,,,"All IA, DA and HA recipients (adults and children) are covered for “Emergency Dental Services” for the relief of pain or infection",
Health Supplements,Health Supp.,Medical/Health,Government of B.C.,Pure In-Kind,Extended Medical,Extended Medical Therapies,99 clients,NA,,,,"Supplement to assist with the cost of the following medical therapies: acupuncture, chiropractic, massage therapy, naturopathy, podiatry and physical therapy services above what MSP covers. Covers $23/visit.",A medical practitioner or nurse practitioner must confirm an acute need and submit documentation to the ministry
Health Supplements,Health Supp.,Children and Family,Government of B.C.,Pure In-Kind,Infant Formula Supp. ,Nutritional Supplement: infant formula,29 clients,reported under Medical Supplies,,,,Regular infant formula may be provided to children during the first 12 months when there is a medically confirmed risk of disease transmittal from the mother's breast milk; and specialized infant formula may be provided to children who have a confirmed medical condition that requires the specialized formula,When need is confirmed in writing by a medical practitioner or nurse practitioner
Health Supplements,Health Supp.,Medical/Health,Government of B.C.,Pure In-Kind,Med. Equip. - Hearing,Medical Equipment- Hearing Instruments,"2,991 individuals",reported under Medical Equipment and Devices,,,,Hearing instruments and associated repairs,"Only for a recipient who is PPMB or receiving DA, or a parent who is hard of hearing and has a dependent child, or a recipient who requires an instrument to obtain employment and where failure to do so is a barrier to employment. Requires an audiologist or a registered hearing instrument practitioner to perform an assessment to confirm the need and prescribe the hearing instrument"
Health Supplements,Health Supp.,Medical/Health,Government of B.C.,Pure In-Kind,Med. Equip. - Orthoses,Medical Equipment - Orthoses,"3,069 clients",reported under Medical Equipment and Devices,,,,Orthoses to assist with a medically essential need. Covered items is limited.,Recipient who is PPMB or is receiving DA. Item must be prescribed by a medical practitioner or nurse practitioner.
Health Supplements,Health Supp.,Medical/Health,Government of B.C.,Pure In-Kind,Med. Equip. & Devices,Medical Equipment and Devices,"9,224 clients",$31.3M,,,"Expenditures include medical equipment and devices, hearing instruments, and orthoses","Medical equipment and devices to assist with a medically essential need such as: canes, crutches, walkers, wheelcharis, scooters, toileting aids, pressure relif mattresses, floor or ceiling lift devices, airway pressure devices, apnea monitors, inhalers, and non-conventional glucose meters.","Available to adult recipients of IA and DA who are PPMBs, PWDs, and their dependents. Item must be prescribed by a medical or nurse practitioner."
Health Supplements,Health Supp.,Medical/Health,Government of B.C.,Pure In-Kind,Med. Supplies,Medical Supplies,"3,548 clients",$15.3M,,,"Expenditures include nutritional supplements - short term and infant formula, and tube feeding","Medical or surgical supplies to avoid an imminent or substantial danger to health. Includes only: wound care, ongoing bowel care, catheterization, incontinence, skin parasite, limb circulation, food thickners, lancets, needles and syringes, ventilator suppies, and tracheostomy supplies.",Recipient who is PPMB or PWD designated and their dependents and have no other resources to meet that need. Supplies are prescribed by a medical practitioner or nursepractitioner.
Health Supplements,Health Supp.,Medical/Health,Government of B.C.,Cash Geared to Cost,Med. Transport,Medical Transportation Supplement,"18,745 issued on 4,775 cases",$3.24M,,,,Medical transportation supplements to meet extraordinary transportation costs.,Recipient who is PPMB or PWD designated and their dependents and have no other resources to meet that need.
Health Supplements,Health Supp.,Medical/Health,Government of B.C.,Cash Geared to Cost,Nutrition Supp. ,Monthly Nutritional Supplement,"10,079 clients",$19.9M,,,,"Nutritional supplement to prevent imminent danger to the person’s life by providing essential, specified items to supplement regular nutritional needs. Eligible recipient receive up to $165/month for dietary items and $40/month for vitamins and minerals. ","DA recipients only who have a severe medical condition and who have a severe medical condition causing a chronic, progressive deterioration of health with symptoms of wasting and to alleviate these symptoms requires one or both of the following items: Additional nutritional items that are part of a caloric supplementation to a regular dietary intake and/or vitamins and minerals and failure to obtain these tems will result in the imminent danger to the person’s life."
Health Supplements,Health Supp.,Medical/Health,Government of B.C.,Pure In-Kind,Optical,Optical Services,"31,347 individuals",$4.9M,,,Includes children under Healthy Kids,"Specified optical services, including eye exams, basic eyewear and repairs andpre-authorized eyewear and repairs",
Health Supplements,Health Supp.,Medical/Health,Government of B.C.,Pure In-Kind,Short-term Nutrition Supp.,Nutritional Supplement: Short-Term,429 clients,reported under Medical Supplies,,,,"May be provided for up to 3 months for recipients who need additional calories above a regular diet to recover from surgery, severe injury, serious disease, or the side effects of medical treatment","Amedical practitioner or nurse practitionerconfirms in writing that the recipient has an acute, short-term need (up to 3 months) for caloric supplementation to a regular dietary intake to prevent critical weight loss while recovering from: surgerya severe injury, a serious disease, orside effects of medical treatment."
Health Supplements,Health Supp.,Medical/Health,Government of B.C.,Pure In-Kind,Tube Feed Supp. ,Tube Feed Supplement,479 clients,reported under Medical Supplies,,,,"Providesliquid nutritional product, equipment and supplies to recipients unable to take food orally or process it through the gastrointestinal system.","Recipients submit prescription and diagnosis from a medical practitioner, nurse practitioneror a registereddietitian."
