Level of Government,Responsible Ministry:,Administered By:,Program,Show Name,Number of Recipients (BC only),$ amount of benefits (BC only)
Government of British Columbia,Transportation & Infastructure,BC Buss Pass Program,Senior Bus Pass,TRUE,61290,61290
Government of British Columbia,Finance,Canada Revenue Agency,Child Opportunity,TRUE,,
Government of British Columbia,Finance,Canada Revenue Agency,Climate Action Credit,TRUE,,
Government of British Columbia,Education,Education,Education Savings Grant,FALSE,,
Government of British Columbia,Health,Farmer's Market,Nutrition Program,FALSE,,
Government of British Columbia,Finance,Canada Revenue Agency,Home Renovation,FALSE,,
Government of British Columbia,"Energy, Mines, & Petroleum Resources",BC Hydro,Crisis Fund,TRUE,2282,2282
Government of British Columbia,Finance,Canada Revenue Agency,Sales Tax Credit,TRUE,,
Government of British Columbia,Finance,Canada Revenue Agency,Tax Reduction Credit,TRUE,,
Government of British Columbia,"Advanced Education, Skills & Training",Douglas College,Career Paths,FALSE,,
Government of British Columbia,Children & Family Development,Children & Family Development,CCOF,FALSE,115918,118800000
Government of British Columbia,Children & Family Development,Children & Family Development,CCFRI,FALSE,56210,97100000
Government of British Columbia,"Advanced Education, Skills & Training",Service provider,Adult Literacy,FALSE,4151,4151
Government of British Columbia,Education,Service provider,CommunityLink & VSS,FALSE,,
Government of British Columbia,Public Safety & Solicitor General,VictimLinkBC,CVAP,FALSE,,
Government of British Columbia,Social Development & Poverty Reduction,Social Development & Poverty Reduction,Disability Assistance,TRUE,96537,96537
Government of British Columbia,"Energy, Mines, & Petroleum Resources",BC Hydro,ECAP,FALSE,,
Government of British Columbia,Health,BC Pharmacare,Fair Pharmacare,TRUE,,
Government of British Columbia,Finance,Finance,Fuel Tax Refund PWD,FALSE,,
Government of British Columbia,Social Development & Poverty Reduction,Social Development & Poverty Reduction,General Supplements,TRUE,,
Government of British Columbia,Social Development & Poverty Reduction,Social Development & Poverty Reduction,Hardship Assistance,TRUE,,
Government of British Columbia,Social Development & Poverty Reduction,Social Development & Poverty Reduction,Health Supp.,TRUE,,
Government of British Columbia,Social Development & Poverty Reduction,Pacific Blue Cross,Healthy Kids,TRUE,144484,144484
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Home Adaptions,FALSE,650,650
Government of British Columbia,Finance,Municipality,HOG,TRUE,,
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Homeless Rent Supp.,FALSE,3832,3832
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Shelters,TRUE,5142,5142
Government of British Columbia,Social Development & Poverty Reduction,Social Development & Poverty Reduction,Income Assistance,TRUE,42734," 347,346,698 "
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Independent Living ,FALSE,,
Government of British Columbia,"Advanced Education, Skills & Training",WorkBC,ISTDF,FALSE,,
Government of British Columbia,Social Development & Poverty Reduction,WorkBC,LMDA,TRUE,,
Government of British Columbia,Attorney General,Service provider,Legal Aid,FALSE,,
Government of British Columbia,Health,Health Insurance BC,MSP,TRUE,,
Government of British Columbia,Labour,Labour,Minimum Wage,FALSE,,
Government of British Columbia,Finance,Finance,SPTD,FALSE,54431,54431
Government of British Columbia,"Advanced Education, Skills & Training",StudentAid BC,Tuition Waiver,FALSE,806,806
Government of British Columbia,Municipal Affairs & Housing,BC Housing,RAP,TRUE,10861,10861
Government of British Columbia,"Advanced Education, Skills & Training",WorkBC,Senior LMP,FALSE,,
Government of British Columbia,Social Development & Poverty Reduction,Canada Revenue Agency,Seniors Supplement,FALSE,56021,56021
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Seniors' Supportive Housing,FALSE,6452,6452
Government of British Columbia,Municipal Affairs & Housing,BC Housing,SAFER,TRUE,25363,25363
Government of British Columbia,"Advanced Education, Skills & Training",StudentAid BC,StudentAid,TRUE,,
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Subsidized Rental,TRUE,276,276
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Supportive Housing,FALSE,11621,11621
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Transition Houses,FALSE,863,863
Government of British Columbia,Public Safety & Solicitor General,VictimLinkBC,Victim Travel Fund,FALSE,,
Government of British Columbia,"Advanced Education, Skills & Training",WorkBC,WDA,TRUE,,
Government of British Columbia,Labour,WorkSafeBC,Health Care Benefits,FALSE,52422,52422
Government of British Columbia,Labour,WorkSafeBC,Perm Disability Benefit,TRUE,5461,5461
Government of British Columbia,Labour,WorkSafeBC,Wage Loss Benefits,TRUE,48771,48771
Government of British Columbia,"Advanced Education, Skills & Training",StudentAid BC,YEAF,FALSE,,
