Program,Program Type/Target,Level of Government,Application Method,Corroborated
First Time Home Buyer Incentive,Housing,Federal,Self-initiated,Not Corroborated
GST/HST Credit,Financial Supports: Non-Work,Federal,Automatic with tax filing,Not Corroborated
GST/HST New Housing Rebate,Housing,Federal,Self-initiated,Not Corroborated
Guaranteed Income Supplement,Financial Supports: Non-Work,Federal,Automatic with tax filing,Not Corroborated
Home Buyer's Plan,Housing,Federal,Self-initiated,Not Corroborated
Housing Internship for First Nation and Inuit Youth,"Education, Training, and Employment",Federal,Third-party,Not Corroborated
Housing Supply Challenge,Housing,Federal,Third-party,Not Corroborated
Immigration Loans Program ,Financial Supports: Non-Work,Federal,Self-initiated,Not Corroborated
Indian Residential Schools Resolution Health Support Program,Medical/Health,Federal,Self-initiated,Not Corroborated
Language Instruction for Newcomers to Canada,"Education, Training, and Employment",Federal,Self-initiated,Not Corroborated
Medical Expenses Tax Credit,Medical/Health,Federal,Tax filing - additional form,Not Corroborated
Non-Insured Health Benefits Program,Medical/Health,Federal,Self-initiated,Not Corroborated
Old Age Security Pension,Financial Supports: Non-Work,Federal,Automatic with tax filing,Not Corroborated
Resettlement Assistance Program,Financial Supports: Non-Work,Federal,Automatic,Not Corroborated
Skills Link,"Education, Training, and Employment",Federal,Third-party,Not Corroborated
Veteran Exceptional Incapacity Allowance,Financial Supports: Non-Work,Federal,Automatic with other application,Not Corroborated
Veteran's Attendance Allowance,Financial Supports: Non-Work,Federal,Automatic with other application,Not Corroborated
Veteran's Detention Benefit,Financial Supports: Non-Work,Federal,Self-initiated,Not Corroborated
Veteran's Independence Program,Financial Supports: Non-Work,Federal,Self-initiated,Not Corroborated
Veteran's Independence Program for Survivors,Financial Supports: Non-Work,Federal,Self-initiated,Not Corroborated
Veterans Clothing Allowance,Financial Supports: Non-Work,Federal,Automatic with other application,Not Corroborated
War Veteran's Funeral and Burial Assistance,Financial Supports: Non-Work,Federal,Self-initiated,Not Corroborated
War Veteran's Prisoner of War Compensation,Financial Supports: Non-Work,Federal,Self-initiated,Not Corroborated
War Veterans Allowance,Financial Supports: Non-Work,Federal,Self-initiated,Not Corroborated
War Veterans Death Benefit,Financial Supports: Non-Work,Federal,Automatic with other application,Not Corroborated
Western Canada Business Services Network,"Education, Training, and Employment",Federal,Third-party,Not Corroborated
Work Integrated Learning Opportunities/work placements,"Education, Training, and Employment",Federal,Self-initiated,Not Corroborated
Workers Comp. (federal employees),Financial Supports: Work-Related,Federal,Automatic with other application,Not Corroborated
Recreation Financial Assistance Programs,Financial Supports: Non-Work,Municipal ,Self-initiated,Not Corroborated
Vancouver Rent Bank,Housing,NGO,Self-initiated,Not Corroborated
Aboriginal Community-Based Training Partnerships Program,"Education, Training, and Employment",Provincial,Third-party,Not Corroborated
Aboriginal Emergency Assistance Fund (post-secondary),"Education, Training, and Employment",Provincial,Self-initiated,Not Corroborated
Affordable Child Care Benefit,Children and Family,Provincial,Self-initiated,Not Corroborated
Affordable Rental Housing,Housing,Provincial,Self-initiated,Not Corroborated
Agreements with Young Adults,"Education, Training, and Employment",Provincial,Self-initiated,Not Corroborated
Alternative Hearing Assistance Supplement,Medical/Health,Provincial,Self-initiated,Corroborated
Automatic Child Benefits Top-Up Supplement,Children and Family,Provincial,Automatic with other application,Not Corroborated
Basic Dental Services,Medical/Health,Provincial,Self-initiated,Not Corroborated
BC access grant for students with permanent disabilities,"Education, Training, and Employment",Provincial,Automatic with other application,Not Corroborated
BC Bus Pass for Seniors,Financial Supports: Non-Work,Provincial,Self-initiated,Not Corroborated
BC Child Opportunity Benefit,Children and Family,Provincial,Automatic with tax filing,Not Corroborated
BC Climate Action Tax Credit,Financial Supports: Non-Work,Provincial,Automatic with tax filing,Not Corroborated
BC Education and Training Savings Grant ,"Education, Training, and Employment",Provincial,Self-initiated,Not Corroborated
BC Employer Training Grant (WDA),"Education, Training, and Employment",Provincial,Third-party,Not Corroborated
BC Farmer's Market Nutrition Program,Financial Supports: Non-Work,Provincial,Self-initiated,Not Corroborated
BC Home Renovation Tax Credit,Housing,Provincial,Tax filing - additional form,Not Corroborated
BC Hydro Customer Crisis Fund,Housing,Provincial,Self-initiated,Not Corroborated
BC Sales Tax Credit,Financial Supports: Non-Work,Provincial,Tax filing - additional form,Not Corroborated
BC Tax Reduction Credit,Financial Supports: Non-Work,Provincial,Automatic with tax filing,Not Corroborated
Camp Fees Supplement,Financial Supports: Non-Work,Provincial,Automatic with other application,Corroborated
Career Paths for Skilled Immigrants,"Education, Training, and Employment",Provincial,Self-initiated,Not Corroborated
Child Care Operating Funding,Children and Family,Provincial,Third-party,Not Corroborated
Childcare Fee Reduction Initiative,Children and Family,Provincial,Third-party,Not Corroborated
Christmas Supplement,Financial Supports: Non-Work,Provincial,Automatic with other application,Not Corroborated
Clothing Supplement for People in Special Care Facilities,Financial Supports: Non-Work,Provincial,Self-initiated,Not Corroborated
Co-op Share Purchase Supplement,Housing,Provincial,Self-initiated,Not Corroborated
Community Adult Literacy Program,"Education, Training, and Employment",Provincial,Self-initiated,Not Corroborated
Community Workforce Response Grant (WDA),"Education, Training, and Employment",Provincial,Third-party,Not Corroborated
CommunityLink Funding and Vulnerable Student Supplement,Financial Supports: Non-Work,Provincial,Third-party,Not Corroborated
Confirmed Job Supplement,Financial Supports: Non-Work,Provincial,Self-initiated,Not Corroborated
Crime Victim Assistance Program,Financial Supports: Non-Work,Provincial,Self-initiated,Not Corroborated
Crisis Supplement,Financial Supports: Non-Work,Provincial,Self-initiated,Not Corroborated
Dental: Crown and bridge work,Medical/Health,Provincial,Self-initiated,Corroborated
Dental: Orthodontic Services,Medical/Health,Provincial,Self-initiated,Corroborated
Diet Supplements,Medical/Health,Provincial,Self-initiated,Corroborated
Disability Assistance,Financial Supports: Non-Work,Provincial,Self-initiated,Corroborated
Emergency Dental Services & Denture Services,Medical/Health,Provincial,Self-initiated,Not Corroborated
Energy Conservation Assistance Program,Housing,Provincial,Self-initiated,Not Corroborated
Extended Medical Therapies,Medical/Health,Provincial,Self-initiated,Corroborated
Fair Pharmacare: general,Medical/Health,Provincial,Self-initiated,Not Corroborated
Fair Pharmacare: Recipients of IA (Plan C),Medical/Health,Provincial,Automatic with other application,Not Corroborated
Fair Pharmacare: Residents of Residential Care Facilities (Plan B),Medical/Health,Provincial,Automatic with other application,Not Corroborated
Fair Pharmacare: Cystic Fibrosis (Plan D),Medical/Health,Provincial,Automatic with other application,Not Corroborated
Fair Pharmacare: Children in the At Home program (Plan F),Medical/Health,Provincial,Automatic with other application,Not Corroborated
Fair Pharmacare: Psychiatric Medications (Plan G),Medical/Health,Provincial,Self-initiated,Corroborated
Fair Pharmacare: Pallitive Care drug plan (Plan P),Medical/Health,Provincial,Self-initiated,Corroborated
Fair Pharmacare: First Nations Health Benefits (Plan W),Medical/Health,Provincial,Automatic with other application,Not Corroborated
Family Maintenance Services,Children and Family,Provincial,Self-initiated,Not Corroborated
Fuel Tax Refund for Persons with Disabilities,Financial Supports: Non-Work,Provincial,Self-initiated,Corroborated
Funeral Costs,Financial Supports: Non-Work,Provincial,Self-initiated,Not Corroborated
Guide Dog and Service Dog Supplement,Medical/Health,Provincial,Self-initiated,Corroborated
Hardship Assistance,Financial Supports: Non-Work,Provincial,Self-initiated,Not Corroborated
Healthy Kids Program,Medical/Health,Provincial,Self-initiated,Not Corroborated
Home Adaptations for Independence,Housing,Provincial,Self-initiated,Corroborated
Home Owner Grant,Housing,Provincial,Self-initiated,Not Corroborated
Homeless Rent Supplements,Housing,Provincial,Self-initiated,Not Corroborated
Homeless Shelters ,Housing,Provincial,Self-initiated,Not Corroborated
Identification Supplement,Financial Supports: Non-Work,Provincial,Self-initiated,Not Corroborated
Income Assistance: Employable,Financial Supports: Non-Work,Provincial,Self-initiated,Not Corroborated
Income Assistance: PPMB designation,Financial Supports: Non-Work,Provincial,Self-initiated,Corroborated
Independent Living BC Program: Disability,Housing,Provincial,Self-initiated,Corroborated
Independent Living BC Program: Senior,Housing,Provincial,Self-initiated,Not Corroborated
Indigenous Skills Training Development Fund,"Education, Training, and Employment",Provincial,Third-party,Not Corroborated
Legal Aid,Financial Supports: Non-Work,Provincial,Self-initiated,Not Corroborated
Life-Threatening Health Needs,Medical/Health,Provincial,Automatic with other application,Not Corroborated
Medical Equipment - Orthoses,Medical/Health,Provincial,Self-initiated,Corroborated
Medical Equipment and Devices,Medical/Health,Provincial,Self-initiated,Corroborated
Medical Equipment- Hearing Instruments,Medical/Health,Provincial,Self-initiated,Corroborated
Medical Services Only Category,Medical/Health,Provincial,Automatic with other application,Not Corroborated
Medical Services Plan: Premium Free Medical Coverage,Medical/Health,Provincial,Automatic with other application,Not Corroborated
Medical Services Plan: Regular Premium Assistance,Medical/Health,Provincial,Self-initiated,Not Corroborated
Medical Services Plan: Temporary Premium Assistance,Medical/Health,Provincial,Self-initiated,Not Corroborated
Medical Supplies,Medical/Health,Provincial,Self-initiated,Corroborated
Medical Transportation Supplement,Medical/Health,Provincial,Self-initiated,Corroborated
Monthly Nutritional Supplement,Medical/Health,Provincial,Self-initiated,Corroborated
"Moving, Transportation and Living Costs",Housing,Provincial,Self-initiated,Not Corroborated
Natal Supplement,Medical/Health,Provincial,Self-initiated,Corroborated
Nutritional Supplement: infant formula,Children and Family,Provincial,Self-initiated,Corroborated
Nutritional Supplement: Short-Term,Medical/Health,Provincial,Self-initiated,Corroborated
Optical Services,Medical/Health,Provincial,Self-initiated,Corroborated
Pre-natal Shelter Supplement,Housing,Provincial,Self-initiated,Corroborated
Property Tax Deferral,Housing,Provincial,Self-initiated,Corroborated 
Property Tax Deferral,Housing,Provincial,Self-initiated,Not Corroborated
Property Tax Deferral: Families with Children,Housing,Provincial,Self-initiated,Not Corroborated
Provincial Tuition Waiver Program,"Education, Training, and Employment",Provincial,Self-initiated,Not Corroborated
Rental Assistance Program,Housing,Provincial,Self-initiated,Not Corroborated
School Start-up Supplement,Children and Family,Provincial,Automatic with other application,Not Corroborated
Sector Labour Market Partnership Program,"Education, Training, and Employment",Provincial,Third-party,Not Corroborated
Security Deposits,Housing,Provincial,Self-initiated,Not Corroborated
Seniors Supplement,Financial Supports: Non-Work,Provincial,Automatic with tax filing,Not Corroborated
Seniors' Supportive Housing,Housing,Provincial,Self-initiated,Not Corroborated
Shelter Aid for Elderly Renters,Housing,Provincial,Self-initiated,Not Corroborated
Skills Training for Employment (WDA),"Education, Training, and Employment",Provincial,Self-initiated,Not Corroborated
StudentAid BC,"Education, Training, and Employment",Provincial,Self-initiated,Not Corroborated
Subsidized Rental Housing,Housing,Provincial,Self-initiated,Not Corroborated
Supplement for Alcohol and Drug Treatment,Medical/Health,Provincial,Self-initiated,Not Corroborated
Supplementary Health Care Benefits ,Medical/Health,Provincial,Self-initiated,Corroborated
Supportive Housing (for low income adults),Housing,Provincial,Self-initiated,Not Corroborated
Temporary Child Benefits Top-Up Supplement,Children and Family,Provincial,Automatic with other application,Not Corroborated
Transition Houses,Housing,Provincial,Self-initiated,Not Corroborated
Transitional Health Services ,Medical/Health,Provincial,Automatic with other application,Not Corroborated
Transportation Supplement  ,Financial Supports: Non-Work,Provincial,Automatic with other application,Not Corroborated
Transportation to Alcohol and Drug Facilities,Financial Supports: Non-Work,Provincial,Self-initiated,Not Corroborated
Travel Supplement,"Education, Training, and Employment",Provincial,Self-initiated,Not Corroborated
Tube Feed Supplement,Medical/Health,Provincial,Self-initiated,Corroborated
Utility Security Deposits,Housing,Provincial,Self-initiated,Not Corroborated
Victim Travel Fund,Financial Supports: Non-Work,Provincial,Self-initiated,Not Corroborated
WorkBC  Employment Services (LMDA),"Education, Training, and Employment",Provincial,Self-initiated ,Not Corroborated
WorkBC Apprentice Services (LMDA),"Education, Training, and Employment",Provincial,Self-initiated,Not Corroborated
WorkBC Assistive Technology Services (LMDA),"Education, Training, and Employment",Provincial,Self-initiated,Not Corroborated
WorkBC Single Parent Employment Initiative (LMDA),"Education, Training, and Employment",Provincial,Self-initiated,Not Corroborated
WorkBC: The Community and Employer Partnerships Program (LMDA),"Education, Training, and Employment",Provincial,Third-party,Not Corroborated
WorkSafe BC: Health Care Benefits,Financial Supports: Work-Related,Provincial,Automatic with other application,Not Corroborated
WorkSafe BC: Permanent Disability Benefit (long-term disability),Financial Supports: Work-Related,Provincial,Self-initiated,Corroborated
WorkSafe BC: Wage loss benefits,Financial Supports: Work-Related,Provincial,Automatic with other application,Not Corroborated
Youth Educational Assistance Fund for Former Youth in Care,"Education, Training, and Employment",Provincial,Self-initiated,Corroborated
Minimum Wage Regulation,Financial Supports: Non-Work,Regulation,Third-party,Not Corroborated
RDSP ,Financial Supports: Non-Work,Voluntary Savings,Self-initiated,Not Corroborated
RESP,"Education, Training, and Employment",Voluntary Savings,Self-initiated,Not Corroborated
RRSP,Financial Supports: Non-Work,Voluntary Savings,Self-initiated,Not Corroborated
TFSA,Financial Supports: Non-Work,Voluntary Savings,Self-initiated,Not Corroborated
