Full Program Name,Program,Age,Program Type/Target,Level of Government,Application Method,Ordering,Description,Eligbility,Conditions,ChildPrograms,Expenditures (2018/19),Number of Recipients (2018/19),Cases (July 2019),Expenditures (2017/18),Number of Eligible Children (March 2018),Base Program Funding (2018/19),Recipients (2017),Expenditures (2017),Budget (2019/20),Expenditures (2019 YTD),Recipient (2019 YTD),Recipients (2017/18),Recipients (2018),Expenditures (2018),Expenditures (2016),Recipients (2016/17),ExpendituresTotal
Child Benefit Top-Up:  Temporary,Child Ben. Top-up (Temporary),Working-Age,Children and Family,Government of British Columbia,Tax filing,11,"This General Supplement is provided in specific circumstances when families are temporarily without the Federal Canada Child Benefit (CCB) or are receiving a lower CCB amount. The supplement is provided to families in when CCB payment is delayed, cancelled, or suspended. ",Dependent child(ren) + eligible for the CCB,,,,,,$5.22M,,,,,,,,"26,722 issues over 5,665 cases",,,,,5220000
Basic Personal Tax Credit,Basic Person. Tax Cred.,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Tax filing ,12,"The basic personal tax credit is a non-refundable tax credit every Canadian resident is entitled to claim on his or her income tax return. It is the amount of income that can be earned before paying any federal income tax multiplied by the tax rate for the lowest tax bracket. This amount changes year to year in order to keep up with inflation. In 2019, it is $12,069 x 15% = $1,810.",,Must file taxes,,,,,,,,,,,,,,,,,,0
BC Home Renovation Tax Credit,Home Renovation,Working-Age,Housing,Government of British Columbia,Tax filing ,13,The Home Renovation Tax Credit for Seniors and Persons with Disabilities assists eligible individuals 65 and over and persons with disabilities with the cost of certain permanent home renovations to improve accessibility or be more functional or mobile at home,Person with disabilities eligible for the Disability Tax Credit or seniors,,,,,,,,,,,,,,,,,212861,,212861
BC Sales Tax Credit,Sales Tax Cred.,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Tax filing ,14,The Sales Tax Credit is a program designed to offset the cost of sales tax for low-income taxpayers and their families residing in BC as of December 31st of the tax year,Low Income,"Income-tested, must file taxes plus the additional form",,,,,,,,,,,,,,,,$45M,,45000000
BC Tax Reduction Credit,Tax Reduction Cred.,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Tax filing ,15,"The B.C. tax reduction credit is a non-refundable tax credit for individuals who have a net income below a certain amount. The credit is reduced by a percentage of an individual's net income over the threshold amount. For the 2018 tax year, the net income threshold is $20,144 and the reduction factor is 3.56%.",Low Income,"Income-tested, must file taxes",,,,,,,,,,,,,,,,$152M,,152000000
Seniors Supplement,Seniors Supp.,Senior,Financial Supports: Non-Work,Government of British Columbia,Tax filing ,16,The Senior's Supplement is a provincial top-up to federal OAS/GIS. The Senior's Supplement ensures a conditionally guaranteed minimum income level for residents of BC and is paid to low-income residents of BC who are 65 years of age and older and who are receiving OAS/GIS or the federal Allowance.,Low-income seniors 65 years+ receiving OAS/GIS or the Allowance,Income-tested,,,"56,021",,$25.7M,,,,,,,,,,,,,25700000
BC Child Opportunity Benefit,Child Opportunity,Working-Age,Children and Family,Government of British Columbia,Automatic with tax filing,17,The B.C. Child Opportunity Benefit provides a tax-free monthly payment to families with children under the age of 18. It will be implmented in October 2020.,Dependent child(ren),Income-tested,,,,,,,,,,$400M,,,,,,,,400000000
Homeless Shelters ,Shelters,Working-Age,Housing,Government of British Columbia,Automatic,18,A range of programs and services available in BC to assist people who are homeless or at risk of homelessness,Homeless,,,$102M,"4,779",,,,,,,$116M,,"5,142 ",,,,,,116000000
Women's Transition Housing and Supports,Transition Houses,Working-Age,Housing,Government of British Columbia,Automatic,19,"Provides housing services and supports for women and children who have experienced violence or are at risk of experiencing violence. Includes: transition houses, safe homes, and second-stage housing.",Women ages 19+ with or without dependent child(ren),,,$31.8M support + $11.3M Project Grants,875,,,,,,,$33.8M to support 864 units + $46.3M in project grants,,,,,,,,80100000
Alternative Hearing Assistance Supplement,Alternative Hearing Supp. ,Working-Age,Medical/Health,Government of British Columbia,Automatic with Other Self Initiated Application,20,A Health Supplement that provides a monthly alternative hearing assistance supplement to assist eligible persons to meet costs associated with overcoming barriers related to having permanent profound bilateral hearing loss. Eligible recipients receive $100/month.,"TA or DA recipient who is PPMB or PWD designated and their dependents who have permanent profound hearing loss in both ears, and cannot significantly benefit from a hearing instrument for the purpose of speech comprehension. Also provided to eligible MSO and THS recipients and children covered under the Health Kids Program.",,,,,,5400,,,,,,,,15 individuals,,,,,5400
BC access grant for students with permanent disabilities,Access Grant,Working-Age,"Education, Training, and Employment",Government of British Columbia,Automatic with Other Self Initiated Application,21,"This program helps full-time students with a permanent disability with the cost of education by replacing approximately $1,000 in B.C. student loan funding",Person with disabilities,"Attending post-secondary, income-tested",,,,,,,,,,,,,,,,,,0
BC Education and Training Savings Grant ,Education Savings,Working-Age,"Education, Training, and Employment",Government of British Columbia,Automatic with Other Self Initiated Application,22,"The BC Government will contribute $1,200 to eligible children (who are beneficiaries of an RESP) through the BC Training and Education Savings Grant (BCTESG). The BCTESG requires no matching or additional contributions",Child(ren),Must have an RESP ,,,,,,,,,,,,,,,,,,0
Bus Pass for PWDs ,Bus Pass for PWDs ,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Automatic with Other Self Initiated Application,23,"This General Supplements is available to persons receiving Disability Assistance. DA clients have the choice of receiving $52/month (e.g., a Transportation Supplements) or an annual bus pass. A Transitional Transportation Supplement is also available to PWDs who leave DA for employment or federal benefits (e.g., CPP).",Recipients of DA (Persons with Disabilities),,,,,,$72.4M (Bus Pass for PWDs + Transportation Supplement),,,,,,,,"Total: 120,146 recipients. Of those, 79,315 (66%) received the Transportation Supplement (pure cash transfer) and 41,111 (44%) received a bus pass (pure in-kind)",,,,,72400000
Child Benefit Top-Up: Automatic,Child Ben. Top-up (Automatic),Working-Age,Children and Family,Government of British Columbia,Automatic with Other Self Initiated Application,24,This General Supplement is provided in specific circumstances when families are temporarily without the Federal Canada Child Benefit (CCB) or are receiving a lower CCB amount. The supplement is provided to families when CCB payment is less than the child benefits top-up supplement.,Dependent child(ren) + eligible for the CCB,,,,,,$5.22M,,,,,,,,"26,722 issues over 5,665 cases",,,,,5220000
Christmas Supplement,X-mas Supp.,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Automatic with Other Self Initiated Application,25,"Annual General Supplement to assist with extra expenses at Christmas. Automatically included in December assistance payment. Single persons receive $35, childless couples recieves $70, and families with children receive $70 plus $10 for each dependent child.","TA, DA, or HA recipient",,,,,,$6.31M,,,,,,,,"144,415 cases",,,,,6310000
Dental and Orthodontic Services,Dental and Orthodontic,Working-Age,Medical/Health,Government of British Columbia,Automatic with Other Self Initiated Application,26,"A Health Supplement that provides coverage to assist with the cost of dental treatment. Coverage levels vary depending on client
category. The ministry has fee schedules that specify the specific dental services covered, and the rates paid. In general, <br/><ul><li>Basic Dental Coverage Limits: Adults: $1,000 maximum every two calendar years; Children: $2,000 maximum every two calendar years</li><li>Emergency coverage provided per fee schedule. Persons who exceed their Basic Dental Limit may also access
Emergency Dental Services” for relief of pain or infection</li><li>Orthodontic services: must be preapproved and is paid in accordance with approved treatment plan</li><li>Crown and Bridge work: Recipients with PWD or PPMB designation paid per fee schedule. Not part of the person’s Basic Dental Limit</li><li>Dentures: initial placement and replacement every five years. Paid per fee schedule</li></ul>","Generally, TA, DA, and HA recipients but eligbility differs by specific service. See BCEA policy Manual for more details.",,,,,,$63.2M (include children covered under Healthy Kids),,,,,,,,"144,651 individuals (includes children covered under Healthy Kids)",,,,,63200000
Healthy Kids Program,Healthy Kids,Working-Age,Medical/Health,Government of British Columbia,Automatic with Other Self Initiated Application,27,"The Healthy Kids Program provides coverage for basic dental treatment, optical care and hearing assistance to children in low-income families, who are not in receipt of income assistance: temporary assistance, disability assistance or hardship assistance.","Children under the age of 18 in low-income families who receive the MSP Supplement Health Benefits Program. Must not be a recipient of TA, DA, or HA.",Income-tested,,,,,$13.7M,"144,484",,,,,,,,,,,,13700000
Life Threatening Health Need,Life Threatening Health Need,Working-Age,Medical/Health,Government of British Columbia,Automatic with Other Self Initiated Application,28,"Access to medical equipment, medical supplies, or medical transportation to persons who are not otherwise eligible but who face a direct and imminent life-threatening health need and have no other resources to meet that need.","B.C. residents not eligible for TA, DA, or HA, but is eligible for MSP Premium Assistance, and has a direct and imminent life-threatening health need and no other resources to meet that need.",Means-tested,,,,,Included uner the various Health Supplement Expenditures,,,,,,,,104 (Dec. 2018),,,,,0
Medical Services Only,MSO,Working-Age,Medical/Health,Government of British Columbia,Automatic with Other Self Initiated Application,29,MSO provides continued access to specific Health Supplements to certain categories of former recipients of DA. One of the major goals of MSO is to assist persons with the PWD designation to obtain and maintain employment by allowing them to retain their premium-assisted Medical Services Plan coverage as well as other health supplements as they move from DA into financial independence.,"Former recipients of DA, or former recipients of TA with a PPMB designation, who either have employment income that disqualifies them from DA/TA or federal transfers (OAS/GIS, CPP) that disqualifies them from DA/TA",Income-tested,,,,,Included uner the various Health Supplement Expenditures,,,,,,,,"35,553 (Dec. 2018)",,,,,0
Optical Services,Optical,Working-Age,Medical/Health,Government of British Columbia,Automatic with Other Self Initiated Application,30,"A Health Supplement that provides specified optical services, including eye exams, basic eyewear and repairs and pre-authorized eyewear and repairs. Provided in accordance with Ministry's fee for service schedule. ","Recipients of TA, DA, and HA and their dependents. Also available to MSO or THS recipients and children covered under the Healthy Kids Program.",,,,,,$4.9M,,,,,,,,"31,347 individuals",,,,,4900000
School Start-up Supplement,School Start-up Supp.,Working-Age,Children and Family,Government of British Columbia,Automatic with Other Self Initiated Application,31,"A General Supplement to assist with extra costs associated with schooling for a person under 19 years of age. Automatically paid every August to families with children under 19 years of age. Families with children ages 5 - 11 receive $100 and families with children 12+ recieve $175. Can also be issued ""off-cycle"" if needed by contacting Ministry.","TA, DA, and HA recipients with dependent child(ren) enrolled in school",,,,,,$3.4M,,,,,,,,"16,707 issued on 16,614 cases",,,,,3400000
Transitional Health Services,THS,Working-Age,Medical/Health,Government of British Columbia,Automatic with Other Self Initiated Application,32,Provides continued access to certain health supplements for up to one year to families with children who leave TA for employment. The intent of THS is to assist families with children to obtain and maintain employment by allowing them to retain their premium-assisted MSP coverage as well as other health supplements while they move from income assistance into financial independence.,"A member of a family unit that ceased to be eligible for TA as a result of employment income, and has a dependent child.",Income-tested,,,,,Included uner the various Health Supplement Expenditures,,,,,,,,575 cases (Dec. 2018),,,,,0
Transportation Supplement  ,Transport Supp.,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Automatic with Other Self Initiated Application,33,"This General Supplements is available to persons receiving Disability Assistance. DA clients have the choice of receiving $52/month (e.g., a Transportation Supplements) or an annual bus pass. A Transitional Transportation Supplement is also available to PWDs who leave DA for employment or federal benefits (e.g., CPP).",Recipients of DA (Persons with Disabilities),,,,,,$72.4M (Bus Pass for PWDs + Transportation Supplement),,,,,,,,"Total: 120,146 recipients. Of those, 79,315 (66%) received the Transportation Supplement (pure cash transfer) and 41,111 (44%) received a bus pass (pure in-kind)",,,,,
Camp Fees Supplement,Camp Fees Supp. ,Working-Age,Children and Family,Government of British Columbia,Contact Caseworker ,34,Provided to fully or partially cover the cost of  a child's attendance at a recognized camp. Approved recipients receive the lesser of $200 or the actual cost of the camp.,"TA, DA, or HA recipient with dependent child(ren); adult DA recipient with PWD designation",,,,,,$0.2M,,,,,,,,785 issued,,,,,200000
Clothing Supplement for People in Special Care Facilities,Clothing Supp.,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Contact Caseworker ,35,A General Supplement for the purchase of necessary clothing when clothing is not provided by the residential care facility and no alternative resources are available. An approved reciepient recieves the cost of necessary clothing,"TA, DA, or HA recipient residing in a residential special care facility. Residents of an alcohol and drug facility or those in CLBC facilities are not eligible.",,,,,,$0.34M,,,,,,,,"1,076 issued over 899 cases",,,,,340000
Co-op Share Purchase Supplement,Co-op Share Supp.,Working-Age,Housing,Government of British Columbia,Contact Caseworker ,36,"A lump-sum General Supplement to assist with the cost of purchasing shares in a co-operative housing corporation. Approved recipients receive the lesser of $850 or 50% of the cost of co-op membership shares. This supplement is repayable. Clients can choose immediate repayment at $10 a month, or delayed repayment.",Must be in receipt of IA or DA for at least three previous calendar months,,,,,,$0.01M,,,,,,,,13 issued,,,,,10000
Confirmed Job Supplement,Confirmed Job Supp.,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Contact Caseworker ,37,A General Supplement may be provided to purchase the essential transportation and work-related items individuals need to begin a job. An approved recipient recieves the cost of essential transportation and work-related items.,TA and DA recipients with a confirmed offer of employment and where no other resources are available to cover the cost.,,,,,,$0.2M,,,,,,,,113 issued on 98 cases,,,,,200000
Crisis Supplement,Crisis Supp.,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Contact Caseworker ,38,"A General Supplement available to recipients who face unexpected, emergency needs in the form of a one-time payment to prevent imminent danger to their physical health or the removal of a child. Crisis Supplements are provided for: food, clothing, shelter, essential utilities, or emergency home repairs. A crisis supplement may be provided for an emergency/disaster, when an identified local, regional, or provincial emergency or disaster occurs and the client meets basic crisis supplement requirements policy and all available resources have been exhausted. Up to: $40/month/person for food, $100/month/person for clothing, and the actual cost of the maximum shelter allowance.","TA, DA, or HA recipient if all of the following apply: <br/> <ul><li>a person requires the supplement to meet an unexpected expense or obtain an item unexpectedly needed;</li><li>a person is unable to meet the expense or obtain the item because there are no resources available; and</li><li> failure to meet the expense or obtain the item will result in imminent danger to the physical health of any person in the family unit or removal of a child under the Child, Family and Community Service Act.</li></ul>",,,,,,$5M,,,,,,,,"44,015 issued on 23,405 cases",,,,,5000000
Diet Supplements,Diet Supp.,Working-Age,Medical/Health,Government of British Columbia,Contact Caseworker ,39,"A Health Supplement to assist in meeting costs of a therapeutic diet that is required as result of specific medical condition or dietary need (i.e. reduced sodium diet - $10/month, diabetes - $35/month, kidney dialysis - $40/month, gluten-free - $40/month, dysphagia - $40/month, cystic fibrosis - $50/month, ketogenic - $40/month, high protein diet for medical reasons - $40/month, and low phenylalanine diet - $40/month). Persons already receiving another nutritional-related supplement are not eligible for diet supplements.","TA, DA, or HA recipient. Must provide written documentation of need from medical practitioner, nurse practitioner, or registered dietician (can be wiaved if Ministry already has sufficient information). ",,,,,,$6.2M,,,,,,,,"163,057 issued on 15,769 cases",,,,,6200000
Extended Medical Therapies,Extended Medical Therapies,Working-Age,Medical/Health,Government of British Columbia,Contact Caseworker ,40,"A Health Supplement to assist with the cost of the following medical therapies: acupuncture, chiropractic, massage therapy, naturopathy, podiatry and physical therapy services above what MSP covers. Covers up to 12 additional visits (above the 10 visits provided under MSP) at a rate of $23/visit.","Recipients of TA, DA, and HA. A medical practitioner or nurse practitioner must confirm an acute need and submit documentation to the ministry",,,,,,,,,,Not Available,,,,99 clients,,,,,0
Family Maintenance Services,Family Maintenance,Working-Age,Children and Family,Government of British Columbia,Contact Caseworker ,41,A General Supplement provided to families in receipt of Income Assistance to obtain child support orders or agreements where there is entitlement to maintenance. FMS provides access to legal council from the Ministry of the Attorney General.,"TA, DA, or HA recipient with dependent child(ren). The client must not already have an order or agreement for child support for all children in the family or spousal support or is defending an application for variation of a maintenance order agreement. The client must be able to identify the potential payor(s), the potential payor(s) must reside in B.C., and the potential payor(s) must receive more than $10280 in annual income.",,,,,,$0.285M,,,,,,,,95 referrals made,,,,,285000
Guide Dog and Service Dog Supplement,Guide & Service Dog Supp.,Working-Age,Medical/Health,Government of British Columbia,Contact Caseworker ,42,"A General Supplement that is provided to assist with the monthly maintenance of a certified guide dog team, service dog team and/or aretired guide or service dog team. Approveed recipients receive $95/month.","TA, DA, or HA recipient with a guide  dog team, service dog team and/or retired guide or service dog team certified under the Guide Dog and Service Dog Act.",,,,,,$0.13M,,,,,,,,"1,379 issued on 135 cases",,,,,130000
Homeless Rent Supplements,Homeless Rent Supp.,Working-Age,Housing,Government of British Columbia,Contact Caseworker ,43,"An initiative aimed at providing individuals in identified at-risk groups facing homelessness with portable rent supplements and support services to help them access rental housing in the private (non-subsidized) housing market. Includes: homeless outreach program, homeless prevention program, and BCH health services",Homeless,,,$31.8M,"3,751",,,,,,,$33.8M ,,"3,832",,,,,,33800000
Identification Supplement,ID Supp.,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Contact Caseworker ,44,"A General Supplement to cover the actual cost of obtaining identification for a person in the family unit (ID is required for all members of the family unit to be eligibel for TA or DA). Used to cover costs asscoiated with birth certificates, SIN cards, BC Drivers License, and BC Services Cards. Cost is paid directly to administring agency.","TA, DA, and HA recipients",,,,,,$0.01M,,,,,,,,719 issued on 619 cases,,,,,10000
Medical Equipment - Orthoses,Med. Equip. - Orthoses,Working-Age,Medical/Health,Government of British Columbia,Contact Caseworker ,45,A Health Supplement that provides orthoses to assist with a medically essential need. Covered items is limited. Provided in-kind. Some items have legislated funding limits. ,"TA or DA recipient who is PPMB or PWD designated and their dependents. Must bemedically essential to achieve or maintain basic functionality, and required to prevent surgery, for post-surgical care, to assist in physical healing or to improve physical functioning that has been impaired by a neuro-musculor-skeletal condition. Also provided to eligible MSO and THS recipients. ",,,,,,Reported under Medical Equipment and Devices,,,,,,,,"3,069 clients",,,,,0
Medical Equipment and Devices,Med. Equip. & Devices,Working-Age,Medical/Health,Government of British Columbia,Contact Caseworker ,46,"A Health Supplement to assist with a medically essential need such as: canes, crutches, walkers, wheelcharis, scooters, toileting aids, pressure relif mattresses, floor or ceiling lift devices, airway pressure devices, apnea monitors, inhalers, and non-conventional glucose meters. Covers least expensive, appropriate medical equipment based on a quote from a contracted medical supplier. Some items have legislated maximums. SDPR has a Master Standard Agreement with contracted medical equipment suppliers who provide these in-kind items.","Adult recipients of TA and DA who are PPMBs, PWDs, and their dependents. Item must be prescribed by a medical or nurse practitioner. Also provided to eligible MSO and THS recipients. May also be accessed under “Life Threatening Health Need"".",,,,,,$31.3M,,,,,,,,"9,224 clients",,,,,31300000
Medical Equipment- Hearing Instruments,Med. Equip. - Hearing,Working-Age,Medical/Health,Government of British Columbia,Contact Caseworker ,47,A Health Supplement that provides hearing instruments and associated repairs,Available to individuals who have no other resources to meet the need and is a: <br/><ul><li>A TA/DA recipient who is PPMB or PWD designated and their dependents</li><li>A TA/DA recipient who is a hard of hearing parent of a dependent child</li><li>Healthy Kids</li><li> A TA/DA recipient involved in ministry-approved training or who requires an instrument to obtain employment and where failure to provide represents a direct barrier to employment</li><li>A recipient who is both registered with the CNIB and is hard of hearing </li><li>A TA/DA recipient with a hearing impairment who is the sole homemaking support for an adult who has a cognitive impairment</li><li>Also provided to eligible MSO and THS recipients and children covered under the Healthy Kids Program.</li><ul>,,,,,,Reported under Medical Equipment and Devices,,,,,,,,"2,991 individuals",,,,,0
Medical Supplies,Med. Supplies,Working-Age,Medical/Health,Government of British Columbia,Contact Caseworker ,48,"A Health Supplement that provides medical or surgical supplies to avoid an imminent or substantial danger to health. Includes: wound care, ongoing bowel care, catheterization, incontinence, skin parasite, limb circulation, food thickners, lancets, needles and syringes, ventilator suppies, and tracheostomy supplies.","TA, HA and DA recipients who are PPMB or PWD designated and their dependents and have no other resources to meet that need. Supplies are prescribed by a medical practitioner or nurse practitioner. Also provided to eligible MSO and THS recipients. May also be accessed under “Life Threatening Health Need” (LTHN).",,,,,,$15.3M,,,,,,,,"3,548 clients",,,,,15300000
Medical Transportation Supplement,Med. Transport,Working-Age,Medical/Health,Government of British Columbia,Contact Caseworker ,49,A Health Supplement that provides a medical transportation supplement to meet extraordinary transportation costs associated with essential medical treatment. Covers least costly appropriate method of transportation.,"Recipients of TA, DA or HA who are either PPMB or PWD designated and their dependents and have no other resources to meet that need. Also provided to eligible MSO and THS recipients. May also be accessed under “Life Threatening Health Need” (LTHN).",,,,,,$3.24M,,,,,,,,"18,745 issued on 4,775 cases",,,,,3240000
Monthly Nutritional Supplement,Monthly Nutrition Supp. ,Working-Age,Medical/Health,Government of British Columbia,Contact Caseworker ,50,"A Health Supplement that provides a nutritional supplement to prevent imminent danger to the person’s life by providing essential, specified items to supplement regular nutritional needs. Eligible recipients receive up to $165/month for dietary items and $40/month for vitamins and minerals. ","DA recipients with the PWD designation who have a severe medical condition and who have a severe medical condition causing a chronic, progressive deterioration of health with symptoms of wasting and to alleviate these symptoms requires one or both of the following items: Additional nutritional items that are part of a caloric supplementation to a regular dietary intake and/or vitamins and minerals and failure to obtain these tems will result in the imminent danger to the person’s life.",,,,,,$19.9M,,,,,,,,"10,079 clients",,,,,19900000
"Moving, Transportation and Living Costs",Moving & Transport Supp.,Working-Age,Housing,Government of British Columbia,Contact Caseworker ,51,"A General Supplement to cover actual necessary moving, transportation, and living expenses (including storage costs during the course of a move) when a recipient is required to move for specified reasons (employment, eviction, safety, high housing costs - see BCEA Policy Manual for more details). Assistance may also be provided when a person is required to attend a child protection hearing or court hearing for family maintenance order.","TA, DA, or HA recipient with no other resources in specific circumstances. ",,,,,,$0.09M,,,,,,,,"1,738 issued on 1,631 cases",,,,,90000
Natal Supplement,Natal Supp. ,Working-Age,Medical/Health,Government of British Columbia,Contact Caseworker ,52,"Health Supplement provided to pregnant recipients and to family units with a dependent child under the age of seven months. Supplement is intended to assist in meeting extra costs associated with prenatal and postnatal expenses. Eligible recipients must provide written confirmation of pregnancy and expected delivery date from a medical practitioner, nurse practitioner or midwife. Eligible recipients recieve up to $45/month for a single child and $90/month for multiple children.","TA, DA, or HA recipients who are pregnant or have a child under 7 months of age.",,,,,,$0.8M,,,,,,,,"3,226 clients",,,,,800000
Nutritional Supplement: Infant Formula,Infant Formula Nutrition Supp. ,Working-Age,Children and Family,Government of British Columbia,Contact Caseworker ,53,A Health Supplement that provides regular infant formula to children during their first 12 months when there is a medically confirmed risk of disease transmittal from the mother's breast milk; and specialized infant formula may be provided to children who have a confirmed medical condition that requires the specialized formula,"TA, DA, and HA recipients and their dependents. Need nust be confirmed  by a medical practitioner or nurse practitioner",,,,,,Reported under Medical Supplies,,,,,,,,29 clients,,,,,0
Nutritional Supplement: Short-Term,Short-term Nutrition Supp.,Working-Age,Medical/Health,Government of British Columbia,Contact Caseworker ,54,"A Health Supplement that may be provided for up to 3 months for recipients who need additional calories above a regular diet to recover from surgery, severe injury, serious disease, or the side effects of medical treatment","Recipients of TA, DA, and HA and their dependents. A medical practitioner or nurse practitioner confirms in writing that the recipient has an acute, short-term need (up to 3 months) for caloric supplementation to a regular dietary intake to prevent critical weight loss while recovering from: surgery, a severe injury, a serious disease, orside effects of medical treatment.",,,,,,Reported under Medical Supplies,,,,,,,,429 clients,,,,,0
Pre-natal Shelter Supplement,Pre-natal Shelter Supp.,Working-Age,Housing,Government of British Columbia,Contact Caseworker ,55,"A General Supplement to assist sTA and DA recipients who are single, have no dependent children, and are pregnant in meeting extra costs associated with securing or maintaining stable accommodation prior to the birth of their first child. Eligible recipients receive their actual cost of housing over $375/month up to $195/month for a maximum of 8 months (with some exceptions).",Pregnant TA or DA recipient with no other dependent children and no spouse,,,,,,$0.25M,,,,,,,,"1,691 issued on 495 cases",,,,,250000
Security Deposits,Security Deposits,Working-Age,Housing,Government of British Columbia,Contact Caseworker ,56,A General Supplement to assist with the cost of securing rental accommodation. The Ministry half the actual market rent for a security deposit. May also cover a pet damage deposit. This is a repayable supplement. Repayment is made by reducing monthly assistance cheques by $20.,"TA, DA, or HA recipient",,,,,,$7.3M,,,,,,,,"22,475 issued on 19,961 cases",,,,,7300000
Supplement for Alcohol and Drug Treatment,Alcohol & Drug Treat. Supp.,Working-Age,Medical/Health,Government of British Columbia,Contact Caseworker ,57,"A Health Supplement that provides payment for alcohol and drug counselling services. Alcohol and drug counselling is provided through Health Authorities and is funded by the Ministry of Health (MOH). These programs fund both residential and non-residential services throughout the province. Counselling services are free to the public and may be used by the ministry’s recipients on a self-referral basis. In addition, numerous non-governmental organizations and privately-owned clinics provide counselling services on a fee for service basis. SDPR’s Supplement for A&D Treatment assist SDPR clients to access counselling and other supports through these privately-run clinics.","TA, DA, and HA recipients and their dependents. ",,,,,,$5.3M,,,,,,,,"9,871 clients",,,,,5300000
